2022;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Lima Puluh Kota;68,07;504670,00;13,40;70,28;6,59;0,92;0,24;10035;8,08;70,08;
Pasaman;65,86;431915,00;13,05;67,41;6,85;0,65;0,11;8619;8,11;67,96;
Solok Selatan;66,26;470090,00;12,73;69,71;6,51;1,12;0,25;10560;8,41;68,38;
Dharmasraya;69,91;530693,00;12,51;72,30;5,56;0,74;0,16;11650;8,56;71,90;
Pasaman Barat;65,87;544829,00;13,69;69,57;6,93;1,10;0,26;9381;8,55;68,25;
Kota Padang;72,08;634581,00;16,54;83,29;4,26;0,61;0,13;14889;11,60;73,93;
Kota Solok;72,15;491488,00;14,34;79,23;3,02;0,58;0,21;12515;11,35;74,06;
Kota Sawah Lunto;68,46;443301,00;13,42;73,73;2,28;0,34;0,09;10537;10,43;70,40;
Kota Padang Panjang;71,04;543609,00;15,07;78,78;5,14;0,41;0,05;11153;11,92;73,02;
Kota Bukittinggi;72,99;570032,00;14,99;81,42;4,46;0,83;0,24;13633;11,63;74,82;
Kota Payakumbuh;72,25;573234,00;14,29;79,53;5,66;0,49;0,07;13687;10,82;74,14;
Kota Pariaman;68,47;522932,00;14,61;77,65;4,13;0,46;0,09;13150;10,78;70,67;
Kuantan Singingi;66,57;638678,00;13,36;71,09;8,24;1,18;0,26;10647;8,76;68,87;
Indragiri Hulu;68,38;584910,00;12,58;70,46;6,14;1,01;0,29;10472;8,40;70,48;
Indragiri Hilir;66,19;568879,00;12,19;67,37;5,98;0,73;0,13;10234;7,26;68,31;
Pelalawan;69,47;655641,00;12,68;72,93;8,97;1,23;0,28;12163;8,72;71,53;
Siak;69,34;518768,00;12,85;74,50;5,07;0,77;0,18;12230;9,87;71,37;
Kampar;69,02;502670,00;13,59;73,84;7,12;1,10;0,29;11394;9,39;71,12;
Rokan Hulu;68,45;585225,00;12,86;70,31;9,95;1,51;0,34;9841;8,55;70,51;
Bengkalis;69,48;648933,00;13,16;74,38;6,32;0,81;0,15;11857;9,71;71,50;
Rokan Hilir;68,65;465614,00;12,83;70,10;6,73;1,34;0,36;9906;8,28;70,69;
Kepulauan Meranti;66,01;568639,00;12,84;66,52;23,84;3,54;0,87;8246;7,88;68,09;
Kota Pekanbaru;70,76;655389,00;15,56;82,06;3,06;0,33;0,07;14804;11,93;72,70;
Kota Dumai;69,18;543182,00;13,32;75,26;3,20;0,36;0,06;12249;10,15;71,25;
Kerinci;68,27;443408,00;13,89;71,99;7,57;1,22;0,31;10570;8,57;70,28;
Merangin;69,63;489880,00;12,05;69,98;8,70;1,21;0,25;10714;7,91;71,53;
Sarolangun;67,31;497951,00;12,47;70,89;8,48;1,32;0,38;12069;8,12;69,46;
Batang Hari;68,97;497857,00;12,94;70,51;9,63;1,44;0,30;10173;8,21;70,93;
Muaro Jambi;69,67;462035,00;12,99;70,18;4,47;0,40;0,07;9118;8,59;71,58;
Tanjung Jabung Timur;64,72;468201,00;12,18;65,77;10,91;1,37;0,31;9503;7,19;66,66;
Tanjung Jabung Barat;66,33;453956,00;12,64;68,79;10,00;1,61;0,41;9968;8,18;68,43;
Tebo;68,13;485883,00;12,65;69,78;6,34;0,74;0,14;10725;7,70;70,26;
Bungo;66,14;470545,00;12,64;70,55;5,38;0,81;0,17;11956;8,29;68,13;
Kota Jambi;71,06;605556,00;15,38;79,58;8,33;1,19;0,25;12597;11,21;72,99;
Kota Sungai Penuh;70,59;450708,00;14,81;76,17;2,97;0,28;0,05;10745;10,34;72,53;
Ogan Komering Ulu;66,15;511887,00;12,84;70,24;11,61;1,64;0,29;10499;8,73;68,55;
Ogan Komering Ilir;66,62;416417,00;11,89;68,02;13,23;2,85;0,90;11251;7,07;69,01;
Muara Enim;67,64;426216,00;11,99;69,43;11,12;1,72;0,41;11304;7,90;69,38;
Lahat;64,49;513085,00;12,43;68,40;15,61;3,42;0,96;10296;8,53;66,52;
Musi Rawas;66,52;524110,00;12,21;67,78;13,34;1,94;0,42;10107;7,55;68,62;
Musi Banyuasin;66,79;566393,00;12,30;68,60;15,19;2,95;0,77;10453;7,65;69,19;
Banyu Asin;67,01;477393,00;11,95;67,93;10,00;1,86;0,45;10299;7,45;69,43;
Ogan Komering Ulu Selatan;65,32;379854,00;11,78;65,87;10,56;1,09;0,20;8895;7,86;67,36;
Ogan Komering Ulu Timur;67,45;383463,00;12,46;70,23;10,05;0,96;0,14;11759;7,80;69,48;
Ogan Ilir;63,95;523864,00;12,32;67,96;12,33;2,24;0,58;11069;7,91;65,98;
Empat Lawang;63,45;384199,00;12,08;66,00;12,03;1,98;0,52;9838;7,65;65,45;
Penukal Abab Lematang Ilir;66,26;458746,00;12,30;65,75;11,76;1,50;0,32;8680;7,06;68,65;
Musi Rawas Utara;64,09;565070,00;11,61;65,74;18,45;3,07;0,73;10283;7,26;66,08;
Kota Palembang;69,45;597136,00;14,43;79,47;10,48;2,25;0,62;15168;10,91;71,49;
