2022;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Lombok Barat;65,64;503509,00;13,96;69,41;13,39;1,82;0,40;11754;6,60;67,63;
Lombok Tengah;64,75;480657,00;13,86;67,57;12,89;2,01;0,44;10470;6,44;66,75;
Lombok Timur;64,53;503525,00;14,05;67,59;15,14;2,58;0,85;9631;7,04;66,55;
Sumbawa;66,08;404396,00;13,23;68,89;13,50;2,52;0,71;9598;8,21;68,12;
Dompu;65,38;404413,00;13,69;69,15;12,40;1,49;0,32;9203;8,73;67,36;
Bima;64,90;395040,00;13,58;67,57;14,50;2,40;0,65;8699;8,17;66,87;
Sumbawa Barat;66,70;518619,00;13,65;72,65;13,02;2,64;0,73;11987;8,90;68,74;
Lombok Utara;65,74;514755,00;12,77;65,70;25,93;6,08;1,97;9433;6,30;67,75;
Kota Mataram;70,25;562661,00;15,65;79,59;8,63;1,18;0,26;15416;9,55;72,20;
Kota Bima;68,84;432959,00;15,05;76,84;8,80;1,28;0,27;11395;10,94;70,83;
Sumba Barat;65,28;395592,00;13,15;64,43;27,47;5,53;1,50;7627;6,85;67,35;
Sumba Timur;63,43;414832,00;12,85;66,17;28,22;5,54;1,71;9641;7,33;65,38;
Kupang;63,35;425750,00;13,88;65,04;21,70;3,89;1,01;7776;7,41;65,28;
Timor Tengah Selatan;64,67;382167,00;12,60;62,73;25,45;6,16;1,83;7118;6,76;66,68;
Timor Tengah Utara;65,27;440155,00;13,34;64,26;21,50;2,68;0,52;6559;7,97;67,35;
Belu;63,36;416519,00;12,30;63,22;14,84;2,87;0,86;7593;7,38;65,28;
Alor;60,08;400858,00;12,27;62,26;20,25;3,42;0,72;7198;8,43;61,99;
Lembata;65,49;464542,00;12,45;65,47;25,18;4,84;1,48;7622;8,25;67,52;
Flores Timur;63,72;364117,00;12,94;64,93;10,75;1,54;0,39;7918;7,79;65,62;
Sikka;65,87;389455,00;13,44;66,06;12,61;1,80;0,40;8362;6,96;67,86;
Ende;63,89;473403,00;13,81;67,97;23,00;4,80;1,51;9413;8,09;65,76;
Ngada;66,23;435916,00;12,73;68,26;11,93;2,13;0,55;8997;8,54;68,40;
Manggarai;65,29;407261,00;13,70;65,83;19,84;3,34;0,83;7580;7,62;67,38;
Rote Ndao;63,33;372179,00;13,21;63,21;27,45;5,31;1,47;6719;7,76;65,26;
Manggarai Barat;65,58;405746,00;12,31;64,92;17,15;4,44;1,36;7636;7,80;67,73;
Sumba Tengah;66,59;341513,00;13,12;62,71;32,51;8,08;2,62;6288;6,73;68,65;
Sumba Barat Daya;66,74;432375,00;13,09;63,15;27,16;3,99;0,93;6779;6,37;68,79;
Nagekeo;65,52;422982,00;12,51;66,22;12,05;1,30;0,24;8433;7,91;67,56;
Manggarai Timur;66,25;411670,00;12,30;62,30;25,35;5,27;1,50;6145;7,42;68,29;
Sabu Raijua;58,98;480844,00;13,17;57,90;28,73;4,61;1,26;5558;6,77;60,87;
Malaka;63,34;419292,00;12,81;61,34;15,26;2,24;0,56;6250;7,12;65,34;
Kota Kupang;68,10;648982,00;16,43;80,20;8,61;1,44;0,39;13513;11,61;70,11;
Sambas;67,34;472079,00;12,70;67,95;6,92;0,85;0,16;10462;6,74;69,39;
Bengkayang;72,31;396037,00;12,14;68,74;6,03;0,73;0,15;9484;7,00;74,00;
Landak;71,32;414536,00;12,44;67,17;10,01;1,40;0,32;7969;7,15;73,39;
Mempawah;69,29;414334,00;12,87;66,94;5,32;0,42;0,06;8049;7,17;71,47;
Sanggau;69,60;395305,00;11,65;66,91;4,51;0,85;0,24;8782;7,41;71,58;
Ketapang;69,17;499724,00;11,95;67,92;9,39;2,04;0,66;9426;7,48;71,27;
Sintang;70,10;620670,00;12,29;67,86;8,57;1,56;0,44;8858;7,36;72,12;
Kapuas Hulu;70,79;508087,00;12,14;66,70;8,59;1,41;0,37;7668;7,59;72,69;
Sekadau;70,26;370836,00;11,90;65,58;5,85;0,72;0,13;7566;7,12;72,39;
Melawi;71,18;602209,00;11,18;66,81;11,44;1,83;0,49;8830;7,18;73,14;
Kayong Utara;66,23;339089,00;11,95;63,81;9,04;1,20;0,27;8234;6,21;68,82;
Kubu Raya;68,78;457367,00;13,88;68,91;4,12;0,40;0,09;9142;7,02;70,95;
Kota Pontianak;71,41;622735,00;15,02;80,48;4,46;0,49;0,09;15141;10,44;73,46;
Kota Singkawang;70,57;552823,00;12,92;72,89;4,67;0,87;0,27;12089;8,19;72,46;
Kotawaringin Barat;68,91;476297,00;12,75;73,41;3,93;0,47;0,09;13352;8,54;70,98;
Kotawaringin Timur;68,04;510290,00;12,86;71,67;5,95;1,34;0,58;12048;8,16;70,15;
Kapuas;66,96;424066,00;12,94;70,01;5,52;0,82;0,21;11377;7,64;69,02;
Barito Selatan;65,41;481352,00;12,67;71,01;4,88;0,58;0,10;11780;9,01;67,48;
Barito Utara;69,47;563393,00;12,53;71,21;5,80;1,05;0,25;10182;8,90;71,50;
Sukamara;69,73;619116,00;12,15;68,94;3,72;0,53;0,11;9225;8,10;71,80;
Lamandau;67,49;588591,00;12,51;71,11;3,34;0,37;0,06;11559;8,53;69,62;
Seruyan;67,62;571049,00;12,02;68,24;7,43;1,25;0,36;9821;7,99;69,46;
Katingan;64,06;553082,00;12,97;69,74;5,50;0,67;0,11;11036;8,78;66,16;
Pulang Pisau;66,28;454933,00;12,50;69,01;4,70;0,76;0,21;10273;8,26;68,36;
Gunung Mas;68,56;479550,00;11,91;71,40;5,64;0,99;0,26;10990;9,24;70,72;
Barito Timur;66,47;571786,00;12,86;72,07;6,59;1,06;0,23;11710;9,32;68,61;
Murung Raya;67,65;550105,00;11,87;68,63;6,40;1,11;0,31;10697;7,66;69,75;
Kota Palangka Raya;71,42;485800,00;14,97;81,16;3,61;0,66;0,19;14345;11,55;73,47;
Tanah Laut;67,84;575061,00;12,32;70,35;3,86;0,37;0,06;11703;7,90;69,86;
Kota Baru;67,56;505601,00;12,06;69,74;4,30;0,59;0,12;12191;7,47;69,56;
Banjar;65,72;514991,00;13,02;70,72;2,79;0,33;0,04;12871;7,71;67,73;
Barito Kuala;64,58;375707,00;12,54;67,37;4,75;0,71;0,17;10230;7,63;66,55;
Tapin;68,88;484113,00;12,04;71,02;3,60;0,33;0,07;12247;7,95;70,88;
Hulu Sungai Selatan;64,53;516857,00;12,40;69,76;4,54;0,49;0,09;13157;7,79;66,51;
Hulu Sungai Tengah;64,56;444331,00;12,22;69,70;5,92;0,75;0,15;12448;8,28;66,54;
Hulu Sungai Utara;62,60;526919,00;12,93;66,84;6,49;0,86;0,15;10132;7,76;64,53;
Tabalong;68,85;573018,00;12,90;73,13;5,87;0,70;0,15;11914;9,12;70,84;
Tanah Bumbu;68,74;557500,00;12,49;71,79;4,26;0,36;0,07;12217;8,25;70,70;
Balangan;66,10;476190,00;12,61;69,73;5,83;0,67;0,12;11659;7,85;68,13;
Kota Banjarmasin;69,69;651383,00;13,95;77,97;4,74;0,72;0,18;14770;10,21;71,59;
Kota Banjar Baru;70,42;692830,00;14,83;79,68;4,17;0,17;0,02;14136;10,98;72,36;
Paser;70,86;556371,00;13,27;73,44;9,43;1,35;0,29;11181;8,80;72,89;
Kutai Barat;71,13;635478,00;13,09;72,92;10,20;1,56;0,42;10740;8,78;73,10;
Kutai Kartanegara;70,69;605321,00;13,63;74,67;7,96;1,18;0,26;11677;9,24;72,65;
Kutai Timur;71,52;659136,00;13,00;74,35;9,28;2,33;0,78;11322;9,44;73,47;
Berau;70,34;624948,00;13,35;75,74;5,65;0,98;0,22;13095;9,54;72,32;
Penajam Paser Utara;70,05;538022,00;12,70;72,55;7,25;1,07;0,25;11890;8,51;71,71;
Mahakam Ulu;70,34;684644,00;12,62;68,75;11,55;2,08;0,58;8215;8,36;72,35;
Kota Balikpapan;72,88;680499,00;14,23;81,13;2,45;0,17;0,02;15455;10,92;74,78;
Kota Samarinda;72,64;784198,00;15,10;81,43;4,85;0,59;0,13;15162;10,71;74,56;
Kota Bontang;72,64;697326,00;13,18;80,94;4,54;0,37;0,05;17327;10,81;74,57;
Malinau;71,30;692605,00;13,33;72,75;6,64;0,73;0,11;10304;9,41;71,50;
Bulungan;71,71;514320,00;13,03;72,08;9,32;1,59;0,41;9641;9,20;72,76;
Tana Tidung;70,75;462898,00;12,38;68,60;4,45;0,41;0,07;8012;8,97;71,51;
Nunukan;70,63;519231,00;12,67;67,16;6,13;0,84;0,18;7446;8,24;71,41;
Kota Tarakan;73,48;773446,00;14,04;76,68;6,30;0,73;0,13;11596;10,08;74,06;
Bolaang Mongondow;67,72;355639,00;11,61;68,95;7,04;1,24;0,31;10614;8,17;69,78;
Minahasa;69,42;308634,00;14,17;76,18;7,05;0,91;0,22;12690;9,82;71,49;
Kepulauan Sangihe;68,42;292549,00;12,59;71,63;10,50;1,43;0,27;11631;8,49;70,51;
Kepulauan Talaud;68,50;319974,00;12,65;70,43;8,25;0,95;0,16;8869;9,73;70,57;
Minahasa Selatan;68,22;365119,00;12,98;72,89;9,00;0,93;0,13;11717;9,19;70,35;
Minahasa Utara;69,69;362428,00;13,06;74,69;6,60;1,16;0,26;11593;10,18;71,68;
Bolaang Mongondow Utara;65,97;283627,00;12,34;68,06;7,31;0,90;0,17;9285;8,57;68,05;
Siau Tagulandang Biaro;69,23;339250,00;12,02;68,94;8,20;0,58;0,09;8401;9,21;71,27;
Minahasa Tenggara;68,42;356988,00;12,44;71,48;11,78;1,89;0,42;10753;9,12;70,52;
Bolaang Mongondow Selatan;62,95;358465,00;12,31;65,90;11,92;1,83;0,46;9238;8,16;64,74;
Bolaang Mongondow Timur;66,06;368578,00;11,88;67,21;5,85;0,65;0,10;9390;8,09;68,24;
Kota Manado;70,16;475683,00;14,17;79,66;5,85;1,17;0,29;14399;11,43;72,18;
Kota Bitung;69,34;458983,00;12,65;74,70;6,20;0,76;0,12;12665;9,91;71,38;
Kota Tomohon;70,39;461424,00;14,23;77,44;5,26;0,63;0,13;12268;10,75;72,44;
Kota Kotamobagu;68,91;385962,00;12,89;73,96;5,19;0,61;0,11;11151;10,32;70,98;
Banggai Kepulauan;64,77;396904,00;13,08;66,08;13,44;1,79;0,35;7712;8,46;66,73;
Banggai;68,90;457335,00;13,34;71,08;7,33;1,20;0,28;9963;8,54;70,88;
Morowali;67,08;507523,00;13,36;72,55;12,58;2,03;0,54;11291;9,35;69,23;
Poso;69,25;561276,00;13,72;71,93;15,18;2,40;0,66;9218;9,52;71,19;
Donggala;65,63;395028,00;12,60;66,25;16,30;2,82;0,72;8303;7,98;67,61;
Toli-Toli;64,40;378317,00;12,92;66,76;12,74;1,53;0,30;8191;8,76;66,41;
Buol;67,19;410824,00;13,17;68,72;12,85;1,79;0,34;8176;9,08;69,32;
Parigi Moutong;62,25;495623,00;12,50;66,26;14,63;3,84;1,37;10063;7,77;64,35;
Tojo Una-Una;64,13;547910,00;12,36;65,54;16,12;2,80;0,78;8096;8,41;66,08;
Sigi;68,11;409679,00;12,97;69,05;12,30;2,01;0,48;8498;8,84;70,15;
Banggai Laut;63,84;384686,00;13,02;66,22;13,17;2,23;0,61;8037;8,63;65,81;
Morowali Utara;67,59;519441,00;12,28;68,97;12,97;2,18;0,65;9242;8,75;69,77;
Kota Palu;69,10;604280,00;16,36;82,02;6,63;0,94;0,25;15162;11,73;71,20;
Kepulauan Selayar;66,63;430976,00;12,67;68,35;12,24;2,15;0,57;9446;8,09;68,81;
Bulukumba;66,29;390040,00;13,42;70,34;7,39;0,99;0,22;10941;8,01;68,51;
Bantaeng;68,72;394116,00;12,30;69,69;9,07;1,32;0,38;12133;6,81;70,88;
Jeneponto;64,72;384299,00;12,11;65,13;13,73;2,54;0,70;9425;6,75;66,81;
Takalar;65,47;399062,00;12,48;68,31;8,25;0,88;0,15;10746;7,64;67,64;
Gowa;68,61;429222,00;13,66;70,99;7,36;1,13;0,32;9812;8,40;70,70;
Sinjai;65,63;374226,00;13,25;68,33;8,80;1,19;0,25;9726;7,79;67,68;
Maros;67,16;450275,00;13,30;71,00;9,43;1,77;0,44;11403;8,02;69,28;
Pangkajene dan Kepulauan;65,02;389613,00;12,78;69,79;13,92;2,09;0,49;11817;8,05;67,12;
Barru;67,26;368150,00;13,61;71,53;8,40;0,98;0,15;11275;8,25;69,35;
Bone;65,35;380513,00;12,99;67,01;10,58;1,35;0,26;9277;7,36;67,57;
Soppeng;68,27;365650,00;13,20;69,70;7,49;0,91;0,21;9756;7,96;70,20;
Wajo;65,68;375022,00;13,30;70,26;6,57;0,86;0,21;12729;7,16;67,82;
Sidenreng Rappang;68,28;383134,00;13,01;72,06;5,11;0,86;0,20;12379;8,04;70,41;
Pinrang;68,08;366808,00;13,25;71,97;8,79;1,06;0,20;12102;8,04;70,15;
Enrekang;69,11;371669,00;13,86;73,39;12,39;1,97;0,49;11183;8,93;71,17;
Luwu;68,68;381015,00;13,40;71,36;12,49;1,90;0,39;10308;8,48;70,75;
Tana Toraja;71,77;366753,00;13,87;69,88;12,18;1,30;0,22;7584;8,52;73,72;
Luwu Utara;66,89;382251,00;12,58;70,51;13,22;2,26;0,55;12105;7,87;69,03;
Luwu Timur;68,86;394158,00;13,00;73,92;6,81;0,80;0,16;13058;8,92;70,94;
Toraja Utara;71,64;364343,00;13,41;70,36;11,65;1,70;0,36;8494;8,26;73,65;
Kota Makasar;70,40;511081,00;15,59;83,12;4,58;0,80;0,19;17406;11,55;72,40;
Kota Parepare;69,55;402126,00;14,52;78,54;5,41;0,56;0,09;14027;10,66;71,57;
Kota Palopo;69,15;403144,00;15,10;78,91;7,78;1,43;0,35;13404;11,09;71,18;
Buton;66,27;279627,00;13,87;67,23;13,27;1,25;0,24;7594;8,25;68,46;
Muna;68,27;387114,00;14,01;69,61;13,41;1,57;0,30;8328;8,52;70,47;
Konawe;68,23;363645,00;13,03;72,04;12,75;2,86;0,85;10552;9,30;70,38;
Kolaka;69,22;448100,00;13,02;73,98;11,51;1,54;0,31;12639;9,06;71,30;
Konawe Selatan;68,83;294510,00;12,59;69,36;11,08;2,18;0,57;9347;8,27;70,95;
Bombana;67,02;368576,00;11,89;66,81;10,26;1,32;0,27;8680;8,05;69,20;
Wakatobi;68,43;319981,00;13,51;70,85;14,55;2,18;0,46;9758;8,50;70,59;
Kolaka Utara;68,37;511972,00;12,16;70,39;13,08;2,80;0,82;10721;8,54;70,40;
Buton Utara;68,86;373792,00;12,99;69,00;14,26;2,66;0,72;7935;9,11;70,96;
Konawe Utara;67,32;340061,00;13,11;71,10;13,72;2,52;0,69;9666;9,53;69,59;
Kolaka Timur;70,82;458563,00;12,69;68,73;13,57;1,86;0,46;8155;8,15;72,90;
Konawe Kepulauan;66,31;370692,00;12,53;66,69;16,15;3,09;0,90;7192;9,43;68,46;
Muna Barat;68,25;382129,00;12,61;66,21;13,85;1,99;0,47;7668;7,60;70,39;
Buton Tengah;65,62;275058,00;13,18;65,29;14,90;1,81;0,34;7670;7,33;67,78;
Buton Selatan;65,59;264666,00;13,25;65,44;14,41;2,12;0,43;7476;7,64;67,76;
Kota Kendari;71,91;454846,00;16,90;84,51;4,57;0,73;0,15;14765;12,52;73,93;
Kota Baubau;69,20;376932,00;15,18;76,67;7,31;0,80;0,17;10835;10,92;71,36;
Boalemo;67,66;472906,00;12,46;67,27;18,74;2,99;0,77;9543;7,03;69,61;
Gorontalo;66,56;411906,00;13,12;69,81;15,42;3,04;0,85;10687;8,02;68,51;
Pohuwato;62,69;345924,00;12,39;66,53;17,87;3,16;0,82;10913;7,35;64,62;
Bone Bolango;66,56;475874,00;13,66;70,90;16,05;2,52;0,61;10676;8,33;68,88;
Gorontalo Utara;64,30;346557,00;12,47;66,01;17,24;3,15;0,78;9636;7,16;66,30;
Kota Gorontalo;70,94;643531,00;14,57;78,22;5,73;0,82;0,15;13077;10,39;72,88;
Majene;60,22;433111,00;13,63;67,84;15,13;2,60;0,61;10152;9,10;62,16;
Polewali Mandar;60,89;452836,00;13,39;64,79;16,39;3,26;0,94;8726;7,60;62,86;
Mamasa;69,25;312206,00;12,53;67,21;14,51;2,09;0,52;7837;8,00;71,20;
Mamuju;66,13;319586,00;13,25;68,88;7,63;0,98;0,18;9668;8,09;68,21;
Mamuju Utara;64,92;404318,00;12,06;68,61;5,09;0,90;0,27;11330;8,11;66,90;
Mamuju Tengah;66,88;290030,00;12,65;66,89;7,17;1,15;0,24;8633;7,61;68,97;
Maluku Tenggara Barat;61,73;546300,00;12,32;63,45;23,88;4,48;1,23;6473;9,77;63,73;
Maluku Tenggara;63,43;595041,00;12,89;66,88;21,19;3,78;1,13;7795;9,78;65,46;
Maluku Tengah;64,65;542782,00;14,28;71,81;17,46;2,75;0,63;10406;9,76;66,73;
Buru;64,65;530858,00;13,22;69,94;15,82;3,61;1,15;10414;8,99;66,72;
Kepulauan Aru;61,27;562416,00;12,33;64,21;23,51;2,90;0,56;7733;8,87;63,29;
Seram Bagian Barat;60,18;449297,00;13,58;66,67;22,25;5,09;1,77;8890;9,24;62,25;
Seram Bagian Timur;58,06;421902,00;12,90;65,05;20,73;3,14;0,70;9591;8,71;60,06;
Maluku Barat Daya;60,98;586021,00;12,52;63,07;27,64;3,33;0,70;7010;8,77;62,98;
Buru Selatan;64,65;677044,00;12,83;65,37;14,75;2,13;0,52;7716;8,06;66,69;
Kota Ambon;68,97;661016,00;16,05;81,63;4,68;0,55;0,09;14405;12,21;71,00;
Kota Tual;64,14;640542,00;13,99;68,60;20,56;3,77;0,93;7519;10,54;66,16;
Halmahera Barat;64,63;379108,00;13,23;66,20;8,43;1,34;0,27;7636;8,57;66,64;
Halmahera Tengah;62,50;507555,00;13,22;66,49;12,00;1,36;0,27;8212;9,02;64,61;
Kepulauan Sula;61,68;414512,00;12,96;64,70;7,64;0,76;0,12;7417;9,02;63,68;
Halmahera Selatan;64,22;362100,00;12,97;65,06;4,99;0,77;0,17;7479;8,16;66,22;
Halmahera Utara;67,82;301041,00;13,67;68,38;4,58;0,47;0,11;7774;8,63;69,88;
Halmahera Timur;67,51;624983,00;12,86;67,93;13,14;1,94;0,41;8230;8,52;69,50;
Pulau Morotai;65,65;301712,00;12,97;63,80;5,42;0,74;0,13;6767;7,42;67,74;
Pulau Taliabu;60,56;448735,00;12,86;61,64;6,88;0,83;0,17;6623;7,94;62,53;
Kota Ternate;69,35;661459,00;15,76;80,81;3,11;0,41;0,10;13586;12,06;71,38;
Kota Tidore Kepulauan;67,74;484983,00;14,36;71,55;5,99;0,83;0,16;8586;9,96;69,75;
Fakfak;66,74;628418,00;14,64;69,12;22,06;5,33;1,92;7678;9,08;68,75;
Kaimana;63,28;511011,00;12,49;66,11;15,29;3,32;1,00;8453;8,74;65,27;
Teluk Wondama;58,68;614573,00;11,69;60,87;30,06;5,50;1,56;8177;7,20;60,57;
Teluk Bintuni;59,48;716834,00;12,43;65,27;29,73;9,96;4,11;9979;8,35;61,37;
Manokwari;67,15;690028,00;13,77;72,60;19,90;3,69;0,95;12179;8,45;69,18;
Sorong Selatan;64,68;422694,00;13,27;63,08;18,48;4,52;1,65;6342;7,58;66,72;
Sorong;64,55;466380,00;13,91;66,69;27,58;6,25;1,97;7607;8,52;66,55;
Raja Ampat;63,11;464797,00;12,10;64,65;17,32;3,07;0,81;8187;8,16;65,12;
Tambrauw;58,82;485342,00;12,19;54,63;32,45;5,89;1,54;5084;5,64;60,68;
Maybrat;63,46;479977,00;13,48;60,49;31,14;9,13;3,79;5425;7,19;65,53;
Manokwari Selatan;65,83;702674,00;12,37;60,68;28,55;8,99;3,64;5691;6,90;67,84;
Pegunungan Arfak;65,49;706497,00;11,78;57,01;33,71;6,43;1,66;5204;5,34;67,50;
Kota Sorong;69,37;827339,00;14,40;78,98;14,96;2,88;0,88;13874;11,32;71,40;
Merauke;65,57;408710,00;14,20;71,24;10,10;1,67;0,56;10424;9,04;67,31;
Jayawijaya;58,47;524173,00;12,83;59,60;35,80;12,01;4,93;7765;5,74;60,26;
Jayapura;64,98;651581,00;14,40;72,67;11,94;3,08;1,24;10230;10,27;67,45;
Nabire;66,05;705953,00;12,44;69,91;23,90;6,80;2,49;9040;10,16;68,41;
Kepulauan Yapen;67,09;716343,00;12,80;68,41;26,15;6,88;2,45;7685;9,69;69,39;
Biak Numfor;66,23;627921,00;14,21;72,85;24,48;5,24;1,45;9788;10,53;68,50;
Paniai;64,46;591595,00;10,52;57,14;36,63;3,95;0,62;6554;4,78;66,94;
Puncak Jaya;63,76;744762,00;7,50;49,84;36,30;13,90;6,76;5422;4,03;65,66;
Mimika;70,69;1002327,00;12,95;75,08;14,28;4,05;1,55;11647;10,20;72,57;
Boven Digoel;58,97;550445,00;11,27;62,52;20,04;4,57;1,40;8086;9,03;60,64;
Mappi;63,75;402212,00;10,84;59,61;26,04;3,90;0,81;6550;6,78;65,66;
Asmat;57,15;424978,00;9,49;52,22;24,87;3,57;0,81;5860;5,36;58,90;
Yahukimo;64,33;496222,00;7,80;50,25;36,21;7,27;1,92;5101;4,28;66,31;
Pegunungan Bintang;62,48;692059,00;6,59;47,21;30,32;5,60;1,50;5618;3,23;64,79;
Tolikara;64,13;472692,00;8,83;50,51;31,31;6,00;1,49;5079;3,67;66,08;
Sarmi;64,79;584626,00;12,32;64,86;13,76;1,85;0,37;6864;9,15;66,74;
Keerom;64,86;744805,00;12,45;67,24;15,77;2,46;0,61;9153;8,31;67,04;
Waropen;64,70;769979,00;12,83;65,67;30,22;6,95;2,23;6919;9,40;66,68;
Supiori;64,39;526482,00;13,18;63,65;37,70;11,93;4,81;5904;9,09;66,36;
Mamberamo Raya;56,60;803286,00;11,82;53,10;30,73;5,66;2,09;4806;6,12;58,29;
Nduga;53,86;420185,00;4,07;34,10;36,73;8,31;2,68;4190;1,58;55,70;
Lanny Jaya;64,18;564670,00;9,07;49,62;37,76;13,73;7,59;4559;3,59;66,31;
Mamberamo Tengah;62,14;475436,00;9,44;49,25;35,92;7,61;2,53;4630;3,48;64,05;
Yalimo;63,56;395868,00;9,50;49,90;31,68;9,68;4,22;4802;3,19;65,72;
Puncak;64,51;754778,00;5,58;43,87;36,25;8,20;2,56;5583;2,17;66,13;
Dogiyai;64,19;592213,00;10,61;55,72;29,48;6,07;1,72;5705;4,96;66,13;
Intan Jaya;63,89;769993,00;7,67;49,25;42,03;5,27;1,06;5624;3,26;65,93;
Deiyai;63,72;647902,00;9,84;50,42;40,31;6,99;1,62;4808;3,26;65,66;
Kota Jayapura;68,75;1099019,00;15,04;80,61;11,12;2,51;0,73;15189;11,74;70,76;
