TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Pakpak Bharat;63,61;287654;13,85;67,47;9,27;0,92;0,12;8402;8,73;65,59;1178215,252
Samosir;69,15;315825;13,46;70,55;12,52;1,63;0,34;8654;9,15;71,16;4434721,245
Serdang Bedagai;66,42;382283;12,59;70,21;7,9;1,32;0,31;11061;8,53;68,46;27959443,68
Batu Bara;64,74;408417;12,62;68,35;12,14;1,63;0,34;10575;8,02;66,75;34047849,02
Padang Lawas Utara;65,04;342885;12,47;69,29;9,6;1,18;0,26;10194;9,10;67,06;11619731,69
Padang Lawas;64,96;332350;13,02;68,16;8,28;1,64;0,47;9100;8,69;66,98;11371986,51
Labuhan Batu Selatan;66,6;368205;12,99;71,39;8,94;1,12;0,23;11553;8,74;68,64;27132303,86
Labuhan Batu Utara;67,33;422063;12,82;71,43;9,57;1,66;0,38;11957;8,36;69,37;24378344,14
Nias Utara;67,26;390564;12,78;61,98;24,99;4,38;1,14;6245;6,25;69,29;3515983,255
Nias Barat;66,78;393450;12,71;61,14;25,51;3,34;0,71;6009;6,14;68,82;1816847,824
Kota Sibolga;66,73;425236;13,15;73,41;12,36;1,26;0,21;11656;10,18;68,77;5531543,451
Kota Tanjung Balai;61,08;421671;12,49;68,51;14,04;1,69;0,28;11383;9,26;63,02;8951450,969
Kota Pematang Siantar;71,38;502726;14,21;78,57;8,63;0,7;0,1;12571;11,15;73,33;13933249,49
Kota Tebing Tinggi;68,74;460533;12,71;75,08;9,94;1,47;0,31;12895;10,28;70,76;5924199,352
Kota Medan;71,02;532055;14,73;80,97;8,08;1,16;0,25;15033;11,38;72,98;241482349,9
Kota Binjai;70,27;403798;13,61;75,89;5,66;0,27;0,02;11260;10,77;72,25;11700098,06
Kota Padangsidimpuan;67,12;382884;14,53;75,06;7,26;0,65;0,09;11181;10,70;69,15;6373126,287
Kota Gunungsitoli;69,01;339671;13,73;69,3;16,23;2,59;0,54;8058;8,58;71,02;5513916,66
Kepulauan Mentawai;62,71;310033;12,76;61,26;14,43;1,87;0,45;6429;7,08;64,68;4665093,434
Pesisir Selatan;68,71;431817;13,31;70,08;7,88;0,76;0,13;9444;8,25;70,73;14037128,66
Solok;66,29;415649;13,03;69,08;7,98;0,71;0,12;10309;7,85;68,34;13580513,02
Sijunjung;64,02;400861;12,36;67,66;7,04;0,94;0,22;10395;8,10;66,02;9148878,972
Tanah Datar;67,7;379041;14,32;72,14;4,66;0,42;0,06;10709;8,45;69,73;13090685,71
Padang Pariaman;66,54;411182;13,62;70,59;7,1;1,02;0,21;11158;7,86;68,58;21255473,34
Agam;70,19;379304;13,86;72,37;6,75;0,82;0,13;9780;8,85;72,17;20540992,18
Lima Puluh Kota;67,67;403030;13,28;69,67;6,97;0,51;0,07;9842;7,98;69,70;15625340,42
Pasaman;65,16;347153;12,79;66,46;7,21;0,59;0,11;8599;7,86;67,18;8907768,5
Solok Selatan;65,55;387438;12,7;68,94;7,33;0,84;0,21;10505;8,16;67,58;5574519,081
Dharmasraya;69,09;439117;12,42;71,52;6,29;0,89;0,2;11431;8,46;71,10;10349563,18
Pasaman Barat;65,63;417742;13,4;68,21;7,14;0,81;0,17;9180;8,06;67,67;15401338,07
Kota Padang;71,64;534857;16,51;82,68;4,48;0,63;0,18;14728;11,34;73,57;62420470,82
Kota Solok;71,5;440618;14,31;78,38;3,24;0,29;0,04;12337;11,02;73,45;4047979,832
Kota Sawah Lunto;67,84;374615;13,16;72,39;2,17;0,23;0,05;10238;9,97;69,87;3679850,219
Kota Padang Panjang;70,81;450377;15,05;78;5,6;0,53;0,09;11013;11,45;72,77;3474832,653
Kota Bukittinggi;72,3;475755;14,96;80,71;4,6;0,56;0,12;13586;11,32;74,22;8695316,614
Kota Payakumbuh;71,67;482184;14,25;78,95;5,68;0,46;0,06;13464;10,72;73,61;6825167,927
Kota Pariaman;68,12;446514;14,53;76,7;4,76;0,49;0,07;12958;10,37;70,15;5005498,559
Kuantan Singingi;66,4;545403;13,32;70,78;9,56;1,28;0,32;10820;8,58;68,44;31869962,39
Indragiri Hulu;68,17;474298;12,35;70,05;6,06;0,84;0,18;10738;8,17;70,20;41592733,57
Indragiri Hilir;65,63;450728;11,9;66,84;6,54;1,24;0,37;10382;7,22;67,66;62697908,77
Pelalawan;69,02;534078;12,17;71,85;9,62;1,44;0,35;12149;8,49;71,03;47732021,83
Siak;69,02;443868;12,75;74,07;5,03;0,64;0,13;12347;9,65;71,03;82105132,65
Kampar;68,62;434601;13,45;73,15;7,71;0,93;0,18;11232;9,25;70,64;77267151,39
Rokan Hulu;67,86;488401;12,83;69,93;10,53;1,87;0,55;9979;8,38;69,89;33882260,19
Bengkalis;69,1;533123;12,86;73,44;6,27;0,5;0,07;11753;9,41;71,11;140378907,1
Rokan Hilir;68,14;388701;12,67;69,4;7,01;0,86;0,19;9672;8,24;70,17;74588117,75
Kepulauan Meranti;65,5;483377;12,81;65,93;26,93;5,97;1,93;8358;7,51;67,53;18394545,3
Kota Pekanbaru;70,24;516368;15,37;81,35;2,52;0,31;0,06;15206;11,43;72,22;118763892,1
Kota Dumai;68,81;439152;13,1;74,64;3,56;0,28;0,05;12453;9,85;70,82;36147146,52
Kerinci;67,79;356059;13,86;70,95;7,13;0,59;0,1;10198;8,21;69,82;9912468,66
Merangin;69,18;406466;11,98;69,07;8,48;1,39;0,38;10312;7,68;71,18;15288073,47
Sarolangun;67,05;424223;12,26;69,72;8,45;1,17;0,27;11679;7,76;69,09;15126920,14
Batang Hari;68,42;420227;12,91;69,67;9,75;1,29;0,25;10038;7,85;70,44;16463293,47
Muaro Jambi;69,17;375372;12,82;69,01;3,83;0,39;0,07;8697;8,33;71,18;24294993,41
Tanjung Jabung Timur;64,08;374735;12,01;63,92;11,54;1,75;0,47;9192;6,35;66,08;24680300,18
Tanjung Jabung Barat;65,99;364012;12,61;67,54;10,56;1,68;0,44;9539;7,70;68,03;42945449,52
Tebo;67,88;404473;12,39;69,02;6,47;1,07;0,26;10555;7,57;69,91;14593435,01
Bungo;65,58;390439;12,61;69,86;5,6;0,81;0,16;11662;8,15;67,61;17895939,78
Kota Jambi;70,6;488034;14,9;78,26;8,12;1,52;0,42;12205;10,91;72,57;30636929,87
Kota Sungai Penuh;70,02;373673;14,78;75,36;2,81;0,25;0,04;10510;10,08;72,01;7479424,369
Ogan Komering Ulu;65,97;428200;12,59;69,45;12,77;1,79;0,4;10261;8,69;68,01;14647672,61
Ogan Komering Ilir;66,37;347121;11,41;66,96;15,01;2,67;0,61;11032;7,03;68,41;28752468,86
Muara Enim;67,08;367761;11,96;68,88;12,41;2,1;0,47;11285;7,78;68,63;57333510,43
Lahat;63,77;428309;12,33;67,62;15,92;2,66;0,69;10071;8,45;65,76;17130200,59
Musi Rawas;65,82;437854;12,07;66,92;13,37;2,21;0,55;9795;7,51;67,86;19062784,3
Musi Banyuasin;66,5;486476;11,99;67,83;16,41;3,37;0,92;10364;7,61;68,54;65810995,08
Banyu Asin;66,72;397496;11,74;66,9;11,33;1,57;0,33;10135;7,19;68,76;28655740,78
Ogan Komering Ulu Selatan;64,75;319333;11,74;65,43;10,53;1,34;0,31;8830;7,83;66,76;8785707,214
Ogan Komering Ulu Timur;66,83;321629;12,22;69,34;10,43;1,51;0,32;11753;7,54;68,87;14935851,05
Ogan Ilir;63,23;433616;12,29;67,22;13,31;1,82;0,38;10777;7,85;65,21;11159403,69
Empat Lawang;62,84;315699;12,05;65,1;12,3;1,87;0,46;9594;7,39;64,81;4991079,287
Penukal Abab Lematang Ilir;66,03;388208;11,9;64,33;13,47;1,86;0,37;8400;6,75;68,07;7083680,438
Musi Rawas Utara;63,45;470485;11,56;64,32;19,12;3,27;0,93;10223;6,50;65,43;7103694,803
Kota Palembang;68,52;521489;14,4;78,44;10,9;1,86;0,5;15087;10,52;70,54;154220318,1
Kota Prabumulih;68,06;541648;12,9;74,4;11,61;1,37;0,28;13072;9,72;70,09;7791060,706
Kota Pagar Alam;64,41;328745;12,84;68,44;8,9;0,9;0,16;9291;9,14;66,41;2791616,167
Kota Lubuklinggau;67;477756;13,36;74,81;12,95;2,21;0,59;13586;9,81;69,04;6643681,121
Bengkulu Selatan;65,75;377823;13,6;70,27;18,54;3,32;0,83;9813;9,02;67,79;5707513,373
Rejang Lebong;66,33;449999;13,68;70,1;15,95;1,47;0,28;10162;8,26;68,37;9368975,739
Bengkulu Utara;66;369367;12,86;68,8;11,65;1,61;0,36;10336;7,86;68,04;8250039,753
Kaur;64,5;322815;12,98;66,78;18,89;4,14;1,15;8594;8,25;66,50;3524507,743
Seluma;65,52;386321;13,27;66,69;19,1;2,71;0,61;8209;7,91;67,56;4613171,16
Mukomuko;64,51;426737;12,72;68,12;11,7;2,19;0,58;10381;7,99;66,51;5155269,331
Lebong;61,18;404368;12,56;66,84;11,77;1,27;0,21;11177;7,90;63,12;3346031,317
Kepahiang;65,75;374568;12,89;67,67;14,74;2,54;0,75;9243;7,93;67,78;4318930,183
Bengkulu Tengah;66,08;406137;13,02;67,3;8,8;1,29;0,24;9435;7,22;68,12;4606570,365
Kota Bengkulu;68,01;660442;16,01;80,35;18,09;3,89;1,22;14030;11,78;70,04;23210398,95
Lampung Barat;65,4;400662;12,24;67,5;12,92;1,86;0,38;9970;7,85;67,43;7095651,439
Tanggamus;66,36;359580;12,17;66,37;12,05;1,24;0,21;9294;7,21;68,40;15590931
Lampung Selatan;67,17;389236;12,33;68,22;14,31;2,32;0,58;9978;7,68;69,20;44685372,69
Lampung Timur;68,59;360610;12,84;69,34;15,24;2,5;0,6;10028;7,59;70,61;41604649,03
Lampung Tengah;67,72;394338;12,91;70,04;12,03;2,09;0,51;11154;7,57;69,75;71017112,22
Lampung Utara;67,02;400248;12,47;67,63;19,9;3,72;0,93;8779;8,20;69,05;23780218,4
Way Kanan;67,24;341012;12,35;67,19;13,07;2,04;0,46;9292;7,39;69,27;13981191,16
Tulangbawang;67,85;393676;11,88;68,23;9,35;1,43;0,35;10797;7,23;69,88;23063585,89
Pesawaran;66,84;372649;12,29;65,75;15,19;2,69;0,71;8059;7,60;68,88;16208211,81
Pringsewu;67,82;422691;12,82;69,97;10,15;1,13;0,21;10289;8,19;69,85;11156953,24
Mesuji;66;382020;11,62;63,52;7,47;0,93;0,2;8144;6,61;68,04;10409225,01
Tulang Bawang Barat;67,85;391096;12,04;65,93;7,75;0,77;0,13;8532;7,13;69,88;11445302,94
Pesisir Barat;61,32;407290;11,98;63,79;14,48;1,6;0,31;8652;7,82;63,27;4687389,866
Kota Bandar Lampung;69,28;588177;14,53;77,33;8,71;1,49;0,38;12255;10,92;71,28;59203979,34
Kota Metro;69,56;371636;14,34;76,77;8,68;1,14;0,22;12017;10,64;71,55;6320907,776
Bangka;68,98;541925;12,76;72,39;4,92;0,65;0,14;12480;8,23;70,99;13765427,63
Belitung;68,92;766276;11,84;72,46;6,29;0,69;0,11;13662;8,41;70,94;9856802,274
Bangka Barat;67,96;549496;11,52;69,05;2,67;0,31;0,07;12275;7,21;69,99;14157204,8
Bangka Tengah;69,15;693842;11,76;70,33;5,02;0,52;0,1;13070;7,13;71,16;8566895,528
Bangka Selatan;65,86;523155;11,36;66,54;3,36;0,48;0,08;11910;6,42;67,90;8664389,946
Belitung Timur;69,91;684277;11,51;70,84;6,6;0,81;0,16;11831;8,15;71,90;7713766,852
Kota Pangkal Pinang;71,22;748487;12,99;77,97;4,25;0,59;0,1;15883;9,80;73,17;13648934,02
Karimun;68,69;376853;12,3;71,1;6,61;0,6;0,11;12136;7,92;70,71;13544171,26
Bintan;68,27;384396;12,95;73,98;6,37;0,63;0,09;14730;8,36;70,30;21303013,23
Natuna;62,84;378573;13,89;72,63;4,42;0,49;0,09;14821;8,72;64,81;21795500,69
Lingga;59,84;429764;12,44;64,98;12,88;1,97;0,46;12091;6,51;61,75;4274268,902
Kepulauan Anambas;65,04;382449;12,75;68,48;6,44;1,14;0,26;12065;6,91;67,06;17439770,75
Kota Batam;71,34;686956;13,15;81,09;4,85;0,53;0,09;18146;11,13;73,29;164490116
Kota Tanjung Pinang;70,03;659170;14,09;78,73;9,03;1,15;0,23;15838;9,99;72,02;20167982,49
Kep. Seribu;66,47;629315;12,56;71,4;12,09;1,95;0,46;12623;8,47;68,51;7926263,498
Kota Jakarta Selatan;72,11;729256;13,32;84,75;2,73;0,39;0,09;23851;11,62;74,03;642464231,9
Kota Jakarta Timur;72,46;539510;13,82;82,69;3,12;0,33;0,08;17662;11,65;74,37;488499494,7
Kota Jakarta Pusat;72,1;625177;13,24;81,24;3,68;0,33;0,05;17285;11,25;74,02;699838120
Kota Jakarta Barat;71,6;517646;12,79;81,21;3,25;0,46;0,09;20875;10,40;73,54;470458815,6
Kota Jakarta Utara;71,22;549506;12,62;80,17;5,04;0,63;0,14;18566;10,70;73,18;522378823,6
Bogor;69,01;373799;12,47;70,65;6,66;0,83;0,15;10683;8,29;71,01;237227082,1
Sukabumi;68,71;309676;12,22;66,87;6,22;0,66;0,11;8973;7,02;70,73;67423121,28
Cianjur;67,89;350760;11,98;65,38;9,15;0,74;0,11;8290;6,97;69,91;46957854,9
Bandung;71,45;345177;12,68;72,41;5,94;1,04;0,28;10502;8,79;73,40;123985749
Garut;69,21;301202;11,82;66,22;8,98;0,87;0,16;8099;7,51;71,22;57874566,14
Tasikmalaya;67,18;311848;12,52;65,64;9,12;0,84;0,12;8092;7,17;69,21;37310226,47
Ciamis;69,58;363750;13,79;70,39;6,65;0,76;0,14;9557;7,69;71,57;31536104,02
Kuningan;71,4;340775;12,1;69,12;11,41;1,24;0,18;9673;7,38;73,35;25093153,97
Cirebon;69,83;381372;12,24;68,69;9,94;1,29;0,26;10670;6,71;71,82;49135805,7
Majalengka;67,94;445184;12,21;67,52;10,06;1,39;0,28;9822;7,09;69,97;31340233,1
Sumedang;70,31;342073;12,96;71,46;9,05;1,05;0,21;10406;8,27;72,29;35439626,58
Indramayu;69,37;458240;12,24;66,97;11,11;1,66;0,4;10090;5,99;71,37;80389855,61
Subang;70,15;339607;11,69;68,69;8,12;1,39;0,34;11012;6,85;72,13;40790680,41
Purwakarta;68,78;367273;12,1;70,67;7,48;1,24;0,28;11819;7,92;70,80;67709507,58
Karawang;69,99;440347;12,08;70,86;7,39;1,06;0,24;11856;7,65;71,98;230201341
Bekasi;71,62;481732;13,08;73,99;4,01;0,6;0,15;11610;8,84;73,56;326083640,8
Bandung Barat;70,2;341307;11,86;68,27;9,38;1,54;0,33;8684;8,18;72,18;47180080,5
Pangandaran;69,11;367748;12,06;68,21;7,71;0,9;0,16;9423;7,67;71,12;11311685,83
Kota Bogor;71,47;513343;13,4;76,23;5,77;0,72;0,18;11825;10,32;73,41;46197757,13
Kota Sukabumi;70,28;520742;13,46;74,31;6,67;1,08;0,32;11204;9,58;72,26;12387691,54
Kota Bandung;72,22;474448;14,19;81,62;3,38;0,53;0,14;17254;10,74;74,14;288460876
Kota Cirebon;70,14;444574;13,11;74,92;8,41;1,23;0,26;11930;9,90;72,13;23491803,45
Kota Bekasi;73,01;617718;13,99;81,59;3,81;0,47;0,1;16157;11,10;74,89;98107697,77
Kota Depok;72,4;644860;13,91;80,82;2,07;0,24;0,04;15696;11,00;74,31;70964044,3
Kota Cimahi;71,96;484804;13,79;78,11;4,39;0,6;0,14;12448;10,95;73,89;32639542,12
Kota Tasikmalaya;69,94;457899;13,44;72,84;11,6;1,98;0,53;10414;9,13;71,93;21750914,27
Kota Banjar;68,78;334590;13,22;71,75;5,5;0,57;0,1;10705;8,62;70,79;4379813,957
Cilacap;71,58;337572;12,49;69,98;10,73;1,28;0,21;10639;6,93;73,52;114117079,8
Banyumas;71,59;385140;12,82;71,96;12,53;2,52;0,67;11703;7,42;73,55;53948860,05
Purbalingga;71,06;355702;11,98;68,99;15,03;2,24;0,47;10131;7,14;73,02;24917589,96
Banjarnegara;72,09;301792;11,45;67,34;14,76;2,38;0,55;9547;6,50;74,01;21599477,27
Kebumen;71,26;362847;13,04;69,6;16,82;2,58;0,65;9066;7,53;73,22;27936659,65
Purworejo;72,62;345458;13,49;72,5;11,45;0,84;0,1;10342;7,91;74,52;18657373,14
Wonosobo;69,61;340827;11,74;68,27;16,63;2,44;0,46;10871;6,76;71,60;18807664,1
Magelang;71,62;325921;12,53;69,87;10,67;0,98;0,17;9387;7,77;73,56;32497408,5
Boyolali;73,98;332996;12,43;73,8;9,53;1,02;0,14;13079;7,56;75,83;32665981,16
Klaten;74,88;405537;13,24;75,29;12,28;1,46;0,27;12074;8,31;76,68;39766522,78
Sukoharjo;75,77;377319;13,82;76,84;7,14;0,87;0,14;11557;9,10;77,55;36945880,36
Wonogiri;74,22;327364;12,48;69,98;10,25;0,82;0,11;9426;7,04;76,07;29044917,06
Karanganyar;75,59;365151;13,67;75,89;9,55;1,45;0,35;11569;8,52;77,38;37014752,03
Sragen;73,76;335334;12,69;73,43;12,79;2,31;0,59;12720;7,34;75,62;37836230,82
Grobogan;72,71;375521;12,29;69,86;11,77;0,9;0,13;10350;6,86;74,61;27278521,82
Blora;72,32;335837;12,19;68,65;11,32;1,59;0,34;9795;6,58;74,23;25965937,47
Rembang;72,53;384561;12,1;70,15;14,95;2,32;0,48;10551;7,15;74,43;18944046,78
Pati;74,09;423922;12,41;71,35;9,46;1,47;0,31;10660;7,19;76,04;43039953,68
Kudus;74,67;406470;13,22;74,94;6,68;0,83;0,17;11318;8,63;76,50;110580428,5
Jepara;73,89;386693;12,74;71,88;6,66;0,64;0,1;10609;7,44;75,74;30230196,61
Demak;73,46;411202;13,01;71,87;11,86;1,61;0,34;10344;7,55;75,31;26184294,58
Semarang;73,78;377674;12,94;74,14;7,04;0,63;0,08;12116;8,01;75,63;49620375,46
Temanggung;73,63;310176;12,13;69,56;9,42;0,51;0,05;9489;7,15;75,48;21648988,07
Kendal;72,43;369769;12,8;71,97;9,41;1,47;0,32;11597;7,25;74,33;42550706,97
Batang;72,69;286116;12;68,42;8,35;0,69;0,08;9573;6,63;74,59;21585719,48
Pekalongan;71,63;382832;12,4;69,71;9,71;1,17;0,2;10508;6,88;73,57;22857063,6
Pemalang;71,26;372115;11,94;66,32;15,41;2,55;0,57;8546;6,41;73,22;25483601,77
Tegal;69,4;365334;12,58;68,24;7,64;0,64;0,09;9798;6,86;71,40;35217969,61
Brebes;67,01;414642;12,03;66,12;16,22;2,31;0,47;10238;6,20;69,04;46178657,58
Kota Magelang;74,91;481282;13,81;78,8;7,46;0,99;0,19;12514;10,33;76,75;8806285,598
Kota Surakarta;75,32;473516;14,55;81,86;8,7;1,6;0,48;15049;10,54;77,12;47999714,41
Kota Salatiga;75,32;418955;15,34;83,12;4,76;0,83;0,2;15944;10,41;77,22;13310955,95
Kota Semarang;75,45;474930;15,51;83,19;3,98;0,57;0,12;15550;10,52;77,25;191352036,3
Kota Pekalongan;72,37;425026;12,83;74,77;6,6;0,92;0,18;12680;8,71;74,28;10873976,04
Kota Tegal;72,44;465047;13,04;74,93;7,47;1,15;0,24;13250;8,31;74,34;15284713,52
Kulon Progo;73,33;333781;14,25;74,44;17,39;2,72;0,61;10275;8,66;75,20;11995771,6
Bantul;71,84;381538;15,15;80,01;12,92;1,87;0,43;15636;9,54;73,77;26310972,65
Gunung Kidul;72,11;301125;12,96;69,96;16,61;2,58;0,53;9612;7,13;74,03;18844736,16
Sleman;72,88;382868;16,72;83,85;7,41;1,13;0,23;16434;10,67;74,77;47467978,09
Kota Yogyakarta;72,67;495562;17,28;86,65;6,84;0,85;0,2;19125;11,45;74,56;36492640,29
Pacitan;69,78;283321;12,62;68,16;13,67;1,75;0,34;9033;7,28;71,77;15961908,38
Ponorogo;70,68;313175;13,72;70,56;9,64;1,7;0,4;9883;7,21;72,65;20483747,99
Trenggalek;71,65;323787;12,25;69,46;10,98;1,37;0,3;9865;7,28;73,59;18553191,68
Tulungagung;72,03;341651;13,15;72,62;6,74;0,84;0,17;10891;8,07;73,95;39215494,09
Blitar;71,44;318534;12,45;70,57;8,94;1,13;0,23;10861;7,29;73,39;36447136,4
Kediri;70,57;305491;12,88;71,85;10,42;1,24;0,22;11146;8,01;72,54;41183683,13
Malang;70,48;329512;13,17;70,35;9,47;1,57;0,4;10270;7,27;72,45;103744108,3
Lumajang;67,91;296633;11,8;65,33;9,49;1,09;0,2;9274;6,22;69,94;32620951,1
Jember;66,96;339685;13,22;66,69;9,25;1,22;0,24;9525;6,18;68,99;77225705,69
Banyuwangi;68,52;353873;12,78;70,6;7,52;1,29;0,34;12264;7,13;70,54;83595729,11
Bondowoso;64,54;380350;13,27;66,09;13,33;1,67;0,33;10665;5,71;66,55;19854048,49
Situbondo;66,94;305280;13,14;67,09;11,2;1,49;0,3;10097;6,12;68,97;20210136,3
Probolinggo;64,98;417991;12,34;65,6;17,76;3,2;0,85;10972;5,77;67,00;34013658,49
Pasuruan;68,14;335653;12,31;68,29;8,68;1,56;0,43;10381;7,11;70,17;145875790,9
Sidoarjo;72,06;462738;14,91;80,05;5,32;1,22;0,42;14609;10,25;73,98;204201621,6
Mojokerto;70,46;394003;12,61;73,53;9,75;1,29;0,27;12860;8,49;72,43;82387909,08
Jombang;70,29;399633;13;72,85;9,22;1,77;0,53;11533;8,53;72,27;40452477,72
Nganjuk;69,44;408160;12,85;71,71;11,24;1,22;0,23;12200;7,63;71,44;26651116,15
Madiun;69,22;344994;13,14;71,69;10,54;1,53;0,34;11650;7,80;71,22;18931550,75
Magetan;70,52;336989;14;73,49;9,61;1,56;0,36;11779;7,96;72,49;18850232,7
Ngawi;70,18;325235;12,69;70,41;14,39;2,65;0,72;11468;6,98;72,16;20432646,96
Bojonegoro;69,35;347786;12,36;68,75;12,38;1,95;0,43;10265;7,09;71,36;78046325,64
Tuban;69,26;348503;12,2;68,37;14,58;2,84;0,75;10499;6,81;71,26;64992760,39
Lamongan;70,29;380220;13,47;72,57;13,21;2,53;0,67;11572;7,89;72,27;39725484,59
Gresik;70,64;466154;13,72;76,1;11,35;2,21;0,61;13295;9,29;72,61;138893603,7
Bangkalan;68,08;389170;11,59;63,79;18,9;4;1,08;8718;5,66;70,11;24664205,21
Sampang;65,92;346075;12,08;61,94;20,71;3,2;0,7;8760;4,55;67,96;19788732,21
Pamekasan;65,42;332775;13,63;65,94;13,95;1,85;0,39;8834;6,40;67,45;17028502,84
Sumenep;69,21;357473;13,19;66,22;19,48;3,03;0,79;9082;5,46;71,22;33298636,46
Kota Kediri;72,04;471893;14,97;78,08;7,16;1,23;0,32;12440;9,92;73,96;139244873,6
Kota Blitar;71,66;456778;14,31;78,56;7,13;1,14;0,23;13851;10,10;73,60;6791619,374
Kota Malang;71,19;543966;15,41;81,32;4,07;0,55;0,13;16666;10,17;73,15;72764205,45
Kota Probolinggo;68,17;501505;13,57;73,27;6,91;1,04;0,26;12280;8,69;70,19;11349178,22
Kota Pasuruan;69,4;434435;13,6;75,25;6,46;0,91;0,17;13393;9,11;71,40;8287819,461
Kota Mojokerto;71,26;467997;13,83;77,96;5,15;0,59;0,14;13710;10,24;73,21;6801696,592
Kota Madiun;70,78;478304;14,39;80,88;4,35;0,5;0,08;16040;11,13;72,75;14107339,9
Kota Surabaya;72,21;567474;14,79;82,22;4,51;0,62;0,15;17854;10,47;74,13;580488529
Kota Batu;70,56;501016;14,12;75,88;3,81;0,3;0,05;12870;9,06;72,54;16924991,2
Pandeglang;62,52;326517;13,46;64,91;9,42;1,33;0,28;8719;6,96;64,49;27931123,75
Lebak;65,02;298201;11,96;63,88;8,3;0,97;0,21;8850;6,31;67,04;28725281,3
Tangerang;67,76;476636;12,81;71,93;5,14;0,69;0,14;12476;8,28;69,79;140089287,6
