TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Simeulue;63,24;404739;13,51;65,7;18,99;3,05;0,71;7210;9,08;65,22;2211885,583
Aceh Singkil;65,34;450217;14,3;68,91;20,78;3,83;0,98;8715;8,52;67,36;2395411,851
Aceh Selatan;62,31;369107;14,41;66,9;13,09;1,58;0,31;8187;8,59;64,27;5479425,663
Aceh Tenggara;66;357015;13,99;69,36;13,43;2,37;0,66;8067;9,65;68,04;4906917,381
Aceh Timur;66,63;417715;13,02;67,39;14,47;1,89;0,4;8600;7,86;68,67;10280799,51
Aceh Tengah;66,79;468577;14,26;73,14;15,5;2,08;0,46;10782;9,69;68,82;7472445,9
Aceh Barat;65,89;471058;14,59;71,22;18,79;3,53;0,97;9692;9,09;67,93;7964354,617
Aceh Besar;67,74;447563;14,71;73,55;13,92;2,56;0,69;9661;10,31;69,77;13241274,86
Pidie;64,88;462059;14,45;70,41;19,46;2,99;0,71;9824;8,82;66,89;10549225,37
Bireuen;69,15;393198;14,82;72,27;13,56;1,77;0,4;8889;9,27;71,16;12886847,77
Aceh Utara;66,75;353856;14,69;69,22;17,39;2,44;0,55;8189;8,46;68,79;19674952,38
Aceh Barat Daya;62,94;358059;13,57;66,56;16,26;1,97;0,36;8491;8,35;64,91;3854318,586
Gayo Lues;63,4;387893;13,73;66,87;19,87;3,95;1,18;8845;7,91;65,38;2608733,704
Aceh Tamiang;67,49;437991;13,58;69,23;13,38;1,65;0,37;8362;8,89;69,52;7385341,17
Nagan Raya;67,1;446144;14,12;69,11;17,97;3,17;0,83;8348;8,50;69,14;7411691,612
Aceh Jaya;65,08;391677;13,97;69,74;13,36;2,49;0,65;9682;8,66;67,11;2575142,321
Bener Meriah;67,16;431643;13,45;72,97;19,3;3,09;0,69;11124;9,78;69,19;4423114,936
Pidie Jaya;68,03;455995;14,54;72,87;19,31;2,85;0,67;10364;9,04;70,06;3449866,376
Kota Banda Aceh;69,36;628493;17,39;85,07;7,22;1,34;0,37;16892;12,64;71,36;18569075,19
Kota Sabang;68,42;563100;13,81;75,77;15,6;2,71;0,7;11444;11,13;70,45;1531587,093
Kota Langsa;67,34;380906;15,34;77,16;10,57;1,78;0,44;12099;11,10;69,37;5236223,616
Kota Lhokseumawe;69,52;376832;15,19;77,3;11,18;1,51;0,3;11421;10,90;71,52;8898379,689
Kota Subulussalam;61,98;351093;14,21;64,46;17,95;3,15;0,79;7463;7,58;63,94;1726924,113
Nias;67,65;361698;12,39;61,65;15,94;2,53;0,59;7042;5,15;69,68;3824854,922
Mandailing Natal;60,58;356058;13,17;66,52;9,11;1,01;0,17;9900;8,36;62,51;13544735,74
Tapanuli Selatan;62,85;364798;13,12;69,75;8,6;0,87;0,18;11410;8,97;64,82;13932335,09
Tapanuli Tengah;65,06;376474;12,79;68,86;12,53;1,64;0,41;10175;8,48;67,08;9956777,568
Tapanuli Utara;66,42;377948;13,68;73,33;9,48;1,6;0,47;11791;9,71;68,46;7889049,558
Toba Samosir;67,9;373020;13,28;74,92;8,6;1,21;0,26;12375;10,36;69,93;7675387,58
Labuhan Batu;67,83;389402;12,67;71,94;8,44;0,87;0,15;11193;9,23;69,86;33610429,38
Asahan;66,07;330460;12,59;69,92;9,68;1,24;0,21;10983;8,49;68,11;37440406,46
Simalungun;69,07;359540;12,77;72,98;8,81;0,99;0,18;11422;9,36;71,07;38057431,78
Dairi;66,75;341511;13,09;71,42;7,7;0,96;0,22;10602;9,34;68,79;9166421,245
Karo;69,27;460870;12,75;74,25;8,23;0,88;0,14;12474;9,62;71,27;20584725,88
Deli Serdang;69,61;390440;13,34;75,43;3,89;0,47;0,11;12317;10,08;71,61;109334140
Langkat;66,55;392050;12,81;70,76;9,91;0,9;0,14;11208;8,64;68,59;42515176,42
Nias Selatan;66,54;279468;12,22;61,59;16,45;2,28;0,5;7105;5,53;68,58;6861477,664
Humbang Hasundutan;67,03;336500;13,27;68,83;8,75;0,96;0,21;7902;9,53;69,06;5951262,895
