TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Tanah Datar;67,94;420049;14,33;72,33;4,4;0,42;0,06;10588;8,61;69,94;13030106,61
Padang Pariaman;66,77;455463;13,67;70,61;6,95;0,67;0,11;10998;7,87;68,79;17934814,6
Agam;70,41;424728;13,87;72,46;6,75;0,79;0,17;9651;8,96;72,37;20374038,3
Lima Puluh Kota;67,79;451295;13,29;69,47;6,86;0,78;0,14;9596;7,99;69,79;15541500,82
Pasaman;65,37;388726;12,8;66,64;7,16;0,7;0,11;8425;8,09;67,40;8969724,022
Solok Selatan;65,77;419442;12,71;69,04;7,15;0,79;0,15;10325;8,28;67,81;5530553,587
Dharmasraya;69,35;477421;12,43;71,51;6,23;0,71;0,13;11273;8,47;71,33;10245774,28
Pasaman Barat;65,69;467769;13,61;68,49;7,04;0,62;0,09;9047;8,19;67,82;15253000,84
Kota Padang;71,76;570654;16,52;82,82;4,4;0,45;0,09;14481;11,58;73,65;62181006,08
Kota Solok;71,7;450254;14,32;78,29;2,77;0,27;0,04;12117;11,03;73,61;4041639,823
Kota Sawah Lunto;68,02;399688;13,17;72,64;2,16;0,07;0;10182;10,17;70,00;3656590,968
Kota Padang Panjang;70,87;491142;15,06;77,93;5,24;0,46;0,08;10734;11,62;72,82;3473230,916
Kota Bukittinggi;72,51;519470;14,97;80,58;4,54;0,56;0,2;13282;11,33;74,38;8627533,472
Kota Payakumbuh;71,84;526490;14,26;78,9;5,65;0,71;0,14;13281;10,73;73,74;6824350,917
Kota Pariaman;68,22;480028;14,54;76,9;4,1;0,49;0,1;12796;10,59;70,28;4994093,584
Kuantan Singingi;66,43;580453;13,33;70,31;8,91;1,44;0,32;10243;8,59;68,55;33748582,55
Indragiri Hulu;68,24;522110;12,36;69,83;5,96;0,78;0,17;10202;8,38;70,25;42511317,32
Indragiri Hilir;65,81;495305;11,91;66,54;5,93;0,96;0,27;9954;7,23;67,85;65014311,8
Pelalawan;69,17;585728;12,24;71,56;9,16;1,31;0,31;11606;8,50;71,16;50681062,93
Siak;69,12;473128;12,76;73,68;5,09;1,27;0,45;11799;9,66;71,11;77038218,14
Kampar;68,75;460991;13,46;72,83;7,38;0,77;0,13;10796;9,26;70,76;73076305,45
Rokan Hulu;68,05;532643;12,84;69,38;10,31;2,04;0,57;9374;8,39;70,06;36087003,01
Bengkalis;69,22;581416;12,87;73,46;6,4;0,72;0,14;11331;9,69;71,20;114583701
Rokan Hilir;68,31;418473;12,68;69,15;6,72;1,1;0,3;9362;8,25;70,30;67948117,75
Kepulauan Meranti;65,66;520955;12,82;65,5;25,28;4,32;1,11;7790;7,70;67,68;18066187,19
Kota Pekanbaru;70,41;589281;15,54;81,32;2,62;0,48;0,13;14433;11,68;72,34;115505700,6
Kota Dumai;68,92;484609;13,12;74,4;3,16;0,31;0,05;11751;10,07;70,93;36326791,39
Kerinci;67,98;385571;13,87;71,21;7,3;1,05;0,21;9995;8,55;69,93;10466733
Merangin;69,34;440156;11,99;69,19;8,63;0,94;0,21;10279;7,76;71,26;15698885,31
Sarolangun;67,13;459092;12,27;69,86;8,42;1,08;0,21;11616;7,87;69,17;14443775,84
Batang Hari;68,61;450233;12,92;69,84;9,65;1,28;0,27;9825;8,11;70,56;16401509,24
Muaro Jambi;69,34;409104;12,83;69,18;3,83;0,31;0,05;8556;8,57;71,27;24419835,33
Tanjung Jabung Timur;64,3;392778;12,16;64,43;10,95;1,45;0,31;9026;6,70;66,23;19475298,92
Tanjung Jabung Barat;66,11;396113;12,62;67,54;10,29;1,58;0,38;9480;7,71;68,12;37097799,2
Tebo;67,96;435523;12,6;69,14;6,26;0,7;0,14;10389;7,58;69,99;14746657,85
