TAHUN;AHH;GK;HLS;IPM;P0;P1;P2;PPK;RLS;UHH;PDRB
Kota Batu;70,62;509886;14,13;75,9;3,89;0,59;0,14;12824;9,07;72,61;15916798,76
Pandeglang;62,69;361713;13,47;65;9,92;1;0,16;8572;7,10;64,66;28408852,01
Lebak;65,19;334509;11,97;63,91;9,24;1,14;0,24;8690;6,40;67,21;29036888
Tangerang;67,86;520742;12,82;71,92;6,23;0,95;0,22;12203;8,39;69,89;135737063,3
Serang;62,68;341074;12,57;66,7;4,94;0,4;0,05;10665;7,50;64,64;76197662,84
Kota Tangerang;69,61;632835;13,85;78,25;5,22;0,74;0,15;14484;10,69;71,60;143661690,8
Kota Cilegon;64,66;504571;13,16;73,05;3,69;0,39;0,06;13010;9,87;66,67;103062082,6
Kota Serang;65,87;411595;12,78;72,16;6,06;0,57;0,1;13212;8,76;68,00;31586332,78
Kota Tangerang Selatan;70,51;643083;14,47;81,36;2,29;0,31;0,08;15667;11,81;72,47;82503323,5
Jembrana;70,4;403462;12,65;72,36;4,51;0,39;0,06;11790;8,23;72,35;13439113,88
Tabanan;71,74;450571;13;76,17;4,27;0,58;0,1;14494;8,88;73,65;22257584,9
Badung;73,26;587737;13,98;81,6;2,02;0,31;0,07;17503;10,39;75,10;49014032,82
Gianyar;71,78;400079;13,89;77,36;4,08;0,57;0,11;14544;9,04;73,68;25865367,63
Klungkung;69,27;318139;12,99;71,73;4,87;0,67;0,17;11376;8,13;71,25;8450673,791
Bangli;68,51;346458;12,34;69,36;4,19;0,3;0,04;11268;7,17;70,52;6716214,81
Karangasem;68,47;330441;12,41;67,35;5,91;0,52;0,06;10237;6,32;70,47;16407774,86
Buleleng;69,87;424602;13,07;72,55;5,32;0,53;0,08;13463;7,24;71,83;33306168,65
Kota Denpasar;72,96;618064;14;83,93;2,14;0,25;0,05;19723;11,47;74,82;49558961,84
Lombok Barat;65,01;439595;13,71;68,2;14,28;2,91;0,82;11304;6,41;66,94;14568486,61
Lombok Tengah;64,29;421439;13,67;66,43;13,44;1,42;0,26;9952;6,28;66,21;16665542,92
Lombok Timur;64,06;447263;13,69;66,3;15,24;1,84;0,42;9409;6,70;65,97;20018948,94
Sumbawa;65,59;369115;13,06;67,61;13,65;2,22;0,5;9146;7,92;67,54;14446302,69
Dompu;64,89;362142;13,32;67,84;12,16;1,65;0,34;8889;8,44;66,82;7064877,749
Bima;64,42;356352;13,29;66,3;14,49;2,41;0,65;8468;7,78;66,33;11405663,73
Sumbawa Barat;66,12;489863;13,62;71,63;13,34;2,81;0,91;11536;8,66;68,07;22764198,25
Lombok Utara;65,23;451721;12,72;64,42;26,99;7,09;2,58;9006;5,91;67,17;4548851,569
Kota Mataram;69,86;499959;15,59;78,91;8,47;1,86;0,56;14968;9,46;71,76;18668930,89
Kota Bima;68,44;383161;15;75,81;8,35;0,6;0,12;11105;10,49;70,38;4133125,734
Sumba Barat;65,1;358252;13,11;63,53;28,17;5,56;1,52;7321;6,60;67,08;2351536,206
Sumba Timur;63,18;370487;12,82;65,52;29,65;6,2;1,95;9406;7,12;65,13;6257494,234
Kupang;62,69;379600;13,85;64,32;22,77;4,36;1,21;7526;7,38;64,63;7649032,786
Timor Tengah Selatan;64,47;338099;12,57;62,15;27,49;5,86;1,73;6861;6,73;66,42;7942731,078
Timor Tengah Utara;64,99;386990;13,31;63,53;22,28;3,75;0,9;6364;7,81;66,96;4085185,466
Belu;62,68;372087;12,27;62,68;15,37;2,68;0,68;7479;7,35;64,61;4551768,088
Alor;59,6;336402;12,23;61,33;21,09;2,92;0,58;6786;8,41;61,48;3052804,743
Lembata;65,08;388577;12,42;64,74;26,14;4,77;1,32;7305;8,22;67,07;1853919,182
Flores Timur;63,26;301611;12,91;64,22;10,84;1,61;0,4;7631;7,71;65,20;5269528,863
Sikka;65,25;324775;13,16;65,11;13,12;1,89;0,38;8081;6,94;67,24;5114229,613
Ende;63,36;392591;13,78;67,04;23,76;4,54;1,19;9094;7,81;65,29;6075210,349
Ngada;65,98;363531;12,7;67,88;12,51;2,4;0,63;8865;8,52;68,04;3493611,561
Manggarai;65,04;340633;13,41;64,54;20,34;4,53;1,46;7203;7,37;67,03;4651357,554
Rote Ndao;62,66;322619;13,18;62,39;27,54;5,36;1,35;6539;7,59;64,60;3169734,412
Manggarai Barat;65,34;340094;12,28;63,89;17,71;3,09;0,79;7468;7,30;67,38;3519340,007
Sumba Tengah;66,39;307853;12,96;61,53;34,49;6,57;1,57;6108;6,25;68,38;1195858,813
Sumba Barat Daya;66,54;383674;13,06;62,28;28;4,5;1,13;6372;6,34;68,53;3769102,223
Nagekeo;65,13;353481;12,48;65,81;12,61;1,7;0,32;8309;7,89;67,13;2274350,127
Manggarai Timur;66,06;344642;11,99;60,85;26,52;4,5;0,99;5818;7,08;68,04;3288889,874
Sabu Raijua;58,78;403846;13,14;57,02;30,18;5,88;1,57;5265;6,65;60,64;1414249,011
Malaka;63,02;371812;12,78;60,21;16,04;2,48;0,52;5901;6,87;64,97;2833048,149
Kota Kupang;67,57;587921;16,4;79,71;8,96;1,6;0,37;13337;11,58;69,55;23912780,35
Sambas;66,92;438062;12,61;67,03;7,7;0,83;0,16;9858;6,71;68,93;20669991,12
Bengkayang;71,92;365755;12,09;67,87;6,62;1,06;0,24;9102;6,76;73,83;8672733,961
Landak;70,89;385314;12,4;65,98;11,12;1,54;0,38;7357;7,11;72,84;10739185,16
Mempawah;68,98;379808;12,39;65,74;4,95;0,41;0,05;7801;7,03;71,04;8545286,331
Sanggau;69,43;346983;11,57;65,77;4,46;0,82;0,21;8245;7,15;71,42;19921366,78
Ketapang;69,05;468450;11,8;67,17;10,29;1,61;0,39;9163;7,31;71,10;28105903,35
Sintang;69,74;573128;12,03;66,88;9,27;1,03;0,19;8728;7,07;71,71;14711073,81
Kapuas Hulu;70,57;465360;12,05;65,69;8,99;1,52;0,35;7162;7,52;72,52;10273876,1
Sekadau;69,86;339456;11,88;64,76;5,87;0,58;0,1;7434;6,83;71,84;6568785,096
Melawi;71,01;550535;11,16;65,55;12,04;1,63;0,4;8332;6,76;72,97;5232208,586
Kayong Utara;66,12;311643;11,82;62,68;9,56;1,13;0,22;7842;6,01;68,28;4206755,274
Kubu Raya;68,53;423430;13,82;67,95;4,42;0,62;0,14;8709;6,83;70,59;28930519,42
Kota Pontianak;71,02;567432;15;79,44;4,7;0,5;0,09;14465;10,17;72,96;37648509,69
Kota Singkawang;70,09;510596;12,9;71,94;4,53;0,48;0,09;11650;7,89;72,06;10126224,98
Kotawaringin Barat;68,56;397883;12,72;72,87;3,59;0,4;0,08;13109;8,42;70,59;20521899,85
Kotawaringin Timur;67,81;446039;12,84;71,31;5,62;0,87;0,16;11854;8,13;69,85;26996329,66
Kapuas;66,71;332999;12,92;69,48;5,04;0,78;0,19;11015;7,59;68,74;16544102,38
Barito Selatan;65,08;433787;12,55;70,22;4,45;0,89;0,26;11486;8,82;67,09;6277089,735
Barito Utara;69,3;504430;12,49;70,59;5,17;0,67;0,13;9936;8,71;71,30;9391707,301
Sukamara;69,52;522601;12,12;68,03;3,23;0,3;0,05;8674;8,01;71,53;4422128,594
Lamandau;67,32;479514;12,48;70,51;3,09;0,36;0,09;11190;8,42;69,36;5773834,617
Seruyan;67,44;504264;11,99;67,58;6,85;0,87;0,16;9370;7,94;69,26;8768548,768
Katingan;63,77;474056;12,67;68,68;4,79;0,51;0,09;10548;8,67;65,78;8306475,719
Pulang Pisau;66,01;395989;12,41;68,45;4,09;0,73;0,2;10047;8,18;68,04;5588375,534
Gunung Mas;68,34;438881;11,78;70,81;4,75;0,75;0,21;10793;9,14;70,40;6274864,593
Barito Timur;66,16;517183;12,83;71,39;6,09;0,55;0,08;11319;9,21;68,22;7103354,77
Murung Raya;67,46;492693;11,75;67,98;5,85;0,87;0,24;10419;7,54;69,51;7762811,304
Kota Palangka Raya;71,25;435008;14,95;80,77;3,44;0,44;0,08;14055;11,52;73,21;18277196,12
Tanah Laut;67,45;522845;12,01;69,38;4,26;0,58;0,12;11207;7,88;69,45;13786685,56
Kota Baru;67,23;466121;11,93;68,86;4,22;0,6;0,12;11530;7,43;69,21;23959559,19
Banjar;65,22;462375;12,44;69,18;2,55;0,26;0,04;12603;7,35;67,21;16528579,84
Barito Kuala;64,13;340526;12,39;66,22;4,51;0,81;0,21;9805;7,34;66,09;8710471,965
Tapin;68,42;446577;11,94;70,11;3,06;0,45;0,12;11841;7,76;70,40;8393891,504
Hulu Sungai Selatan;64,01;528622;12,17;68,85;5,17;0,51;0,09;12672;7,75;65,97;6564022,409
Hulu Sungai Tengah;64,06;417778;12,2;68,84;5,64;0,43;0,06;12153;8,00;66,01;7052349,916
Hulu Sungai Utara;61,92;488237;12,91;65,59;6,14;0,85;0,2;9527;7,53;63,83;4968417,627
Tabalong;68,46;531180;12,72;72,19;5,72;0,72;0,21;11283;9,10;70,44;17744387,55
Tanah Bumbu;68,37;513803;12,37;70,71;4,6;0,69;0,14;11718;7,96;70,34;19899648,32
Balangan;65,71;441488;12,46;68,82;5,32;0,88;0,24;11452;7,55;67,72;10722299,39
Kota Banjarmasin;69,18;543546;13,93;77,1;4,39;0,54;0,11;14306;9,95;71,13;32720171,4
Kota Banjar Baru;70,03;652030;14,81;79,1;4,01;0,48;0,1;13675;10,95;71,99;9539049,347
Paser;70,65;515414;13,1;72,04;9,23;1,04;0,21;10344;8,55;72,62;43238165,66
Kutai Barat;70,92;583532;12,9;71,19;9,29;1,23;0,28;9712;8,47;72,86;27172544,64
Kutai Kartanegara;70,39;548423;13,59;73,59;7,31;0,91;0,16;10720;9,22;72,34;149043577,9
Kutai Timur;71,22;610858;12,89;73;9,55;2,02;0,63;10485;9,19;73,16;115559861,6
Berau;70,1;568500;13,32;74,71;5,19;0,7;0,17;12018;9,52;72,06;35449246,25
Penajam Paser Utara;69,85;499807;12,56;71,41;7,36;0,87;0,17;11231;8,28;71,41;9052131,3
Mahakam Ulu;70,14;631517;12,51;67,09;11,44;1,46;0,29;7524;7,97;72,10;2765702,01
Kota Balikpapan;72,62;613622;14,14;80,01;2,57;0,38;0,12;14549;10,68;74,49;103838750,6
Kota Samarinda;72,38;719710;14,89;80,11;4,76;0,72;0,21;14135;10,48;74,27;66525011,43
Kota Bontang;72,38;636491;13,03;80,02;4,38;0,54;0,09;16278;10,79;74,28;55663480,47
Malinau;71,25;616161;13,3;71,94;6,63;1,16;0,28;9611;9,39;71,45;11147293,93
Bulungan;71,61;472569;13;71,1;9,06;1,32;0,28;9121;8,94;72,66;18718823,96
Tana Tidung;70,68;425348;12,21;66,97;4,81;0,33;0,06;7381;8,54;71,42;5802843,656
Nunukan;70,58;450718;12,64;65,79;6,36;0,87;0,17;6804;8,00;71,34;26298112,35
Kota Tarakan;73,39;696585;14,02;75,83;6,24;0,77;0,15;10894;9,97;73,97;38110941,87
Bolaang Mongondow;67,33;325227;11,52;67,89;7,27;0,87;0,15;10128;7,93;69,36;8392403,204
Minahasa;69,09;285596;13,98;75,29;7,3;0,82;0,17;12395;9,59;71,08;17427126,46
Kepulauan Sangihe;68,09;272971;12,32;70,73;11,14;1,29;0,25;11427;8,29;70,10;4388557,552
Kepulauan Talaud;68,14;294686;12,51;69,4;9,49;1,26;0,24;8505;9,51;70,16;2266563,684
Minahasa Selatan;67,88;336715;12,74;72,11;9,14;1,02;0,2;11481;9,08;69,92;8780262,067
Minahasa Utara;69,4;333535;12,8;73,9;7;0,98;0,19;11405;9,99;71,38;14372458,61
Bolaang Mongondow Utara;65,63;264227;11,91;66,99;8,41;0,83;0,14;9062;8,40;67,66;2574188,883
Siau Tagulandang Biaro;68,72;312581;11,67;67,64;8,94;0,83;0,14;8080;8,97;70,73;2447459,906
Minahasa Tenggara;68,13;332966;12,27;70,51;12,3;2,27;0,61;10408;8,88;70,15;5213518,876
Bolaang Mongondow Selatan;62,58;327648;12,29;65;12,77;1,65;0,33;8837;7,90;64,49;2153237,67
Bolaang Mongondow Timur;65,8;335241;11,59;65,99;5,88;0,94;0,2;8998;7,83;67,89;3082403,595
Kota Manado;69,89;424473;14,15;78,93;5,86;1,25;0,36;13886;11,27;71,87;36625744,09
Kota Bitung;69,07;416993;12,61;74,1;6,41;0,86;0,2;12193;9,88;71,07;17084995,56
Kota Tomohon;69,96;422746;14,2;76,69;5,6;0,96;0,25;11745;10,73;71,93;4371177,857
Kota Kotamobagu;68,47;343675;12,79;72,97;5,42;0,84;0,16;10744;10,10;70,47;3791274,783
Banggai Kepulauan;64,33;364025;13,06;65,42;14,04;1,99;0,47;7429;8,43;66,31;3833548,05
Banggai;68,9;417863;13,24;70,52;7,39;1,05;0,21;9554;8,52;70,88;27360880,1
Morowali;67,08;463140;13,34;72,21;13,43;2,48;0,67;10993;9,33;69,18;62028344,27
Poso;69,2;515435;13,7;71,28;15,45;2,53;0,68;8808;9,41;71,18;9214474,12
Donggala;65,34;360483;12,49;65,56;17,39;3,01;0,79;7960;7,97;67,33;11737411,49
Toli-Toli;63,95;343770;12,73;65,69;12,85;2,33;0,63;7917;8,51;65,90;8320823,11
Buol;66,74;375794;13,09;67,82;13,93;1,97;0,47;7942;8,86;68,76;5637527,18
Parigi Moutong;62,25;444258;12,47;65,44;15,85;3,49;1,22;9641;7,48;64,30;17197683,9
Tojo Una-Una;63,71;504889;12,28;64,59;16,39;3,27;1,03;7606;8,39;65,67;5586625,29
Sigi;67,96;370788;12,87;68,12;12,45;1,96;0,49;8126;8,60;69,99;9030251,55
Banggai Laut;63,42;359768;12,95;65,43;14,6;1,59;0,36;7663;8,62;65,38;2372478,16
Morowali Utara;67,51;474170;12,24;68,36;14,1;2,95;1,02;8853;8,71;69,61;11160860,58
Kota Palu;68,99;559246;16,23;81,47;6,8;0,97;0,22;14839;11,61;71,04;24125891,06
Kepulauan Selayar;66,43;396822;12,65;67,38;12,48;2,25;0,6;8970;7,88;68,46;6392741,354
Bulukumba;65,88;351180;13,17;68,99;7,1;0,71;0,14;10513;7,67;67,92;14565486,46
Bantaeng;68,45;340890;12,04;68,73;8,95;0,97;0,18;11632;6,72;70,54;8970476,768
Jeneponto;64,38;366453;11,98;64,26;14,58;2,6;0,68;9114;6,59;66,39;10288558,63
Takalar;65,16;364378;12,41;67,31;8,44;1,09;0,21;10454;7,29;67,18;10220311,17
Gowa;68,42;390917;13,64;70,14;7,38;1,18;0,3;9394;8,19;70,43;21531877,32
Sinjai;65,29;329819;13,05;67,6;9;1,34;0,36;9439;7,75;67,30;11325053,91
Maros;66,97;414324;13,04;69,86;9,74;1,45;0,34;10963;7,73;69,02;18621037,74
Pangkajene dan Kepulauan;64,65;358061;12,76;68,72;13,96;2,52;0,71;11405;7,66;66,66;25662546,57
Barru;66,99;337047;13,58;71;8,26;1,31;0,36;10923;8,23;69,02;7432295,756
Bone;65,04;345009;12,88;66,06;10,68;1,59;0,36;8963;7,15;67,07;36560640,4
Soppeng;67,73;315455;12,9;68,67;7,59;0,83;0,16;9483;7,81;69,65;11382122,02
Wajo;65,31;350765;13,14;69,15;6,95;0,98;0,21;12386;6,81;67,35;19773053,62
Sidenreng Rappang;67,81;349452;12,94;71,21;5,05;0,82;0,19;12073;7,84;69,83;14073432,74
Pinrang;67,65;336346;13,23;71,26;8,86;1,27;0,34;11844;7,86;69,61;20083012,97
Enrekang;68,9;338731;13,7;72,76;12,17;1,61;0,34;10844;8,90;70,91;7528639,588
Luwu;68,32;347539;13,33;70,51;12,65;2,12;0,49;10014;8,24;70,34;16031067,61
Tana Toraja;71,37;336877;13,8;68,75;12,1;2,32;0,74;7217;8,26;73,30;7571142,149
Luwu Utara;66,46;354669;12,43;69,57;13,41;2,29;0,61;11562;7,79;68,51;13237249,37
Luwu Timur;68,51;350576;12,83;73,22;6,85;1,05;0,24;12814;8,80;70,53;21529809,64
Toraja Utara;71,45;328096;13,38;69,33;12,01;1,75;0,37;8097;7,96;73,39;9721428,132
Kota Makasar;70,12;442513;15,57;82,25;4,54;0,58;0,12;16873;11,21;72,09;178332992,8
Kota Parepare;69,28;363710;14,5;77,86;5,44;0,94;0,24;13663;10,45;71,27;7323651,301
Kota Palopo;68,88;362859;15,08;78,06;7,85;0,95;0,21;12995;10,76;70,88;8025289,923
Buton;66,1;262541;13,75;65,98;13,21;1,94;0,41;7307;7,71;68,25;3816776,369
Muna;68,18;358333;13,79;69,02;12,83;1,86;0,46;8203;8,36;70,39;6983650,849
Konawe;68,16;323180;13;71,35;12,2;1,71;0,35;10126;9,15;70,27;10303725,67
Kolaka;68,94;406919;12,81;73,45;11,63;1,99;0,55;12515;8,98;71,06;25550949,15
Konawe Selatan;68,66;261382;12,36;68,2;10,74;1,77;0,41;9037;7,86;70,80;11828419,79
Bombana;66,75;325949;11,84;66,05;10,01;1,35;0,32;8234;8,03;68,91;6565753,391
Wakatobi;68,27;294440;13,5;69,48;14,31;2,73;0,73;9204;7,94;70,41;4429269,333
Kolaka Utara;68,22;494836;12,11;69,31;12,96;2,28;0,64;10218;8,12;70,36;8831478,98
Buton Utara;68,77;345039;12,76;67,87;14,1;2,34;0,61;7470;8,92;70,93;3211187,778
Konawe Utara;67,3;305100;12,83;69,86;13,53;2,92;0,86;9165;9,21;69,51;3966227,313
Kolaka Timur;70,59;405341;12,41;67,02;13,47;2,18;0,53;7727;7,56;72,67;4496336,703
Konawe Kepulauan;66,25;335414;12,06;65,41;17,01;2,56;0,6;6700;9,41;68,43;1398579,698
Muna Barat;68,16;357477;12,5;65,08;13,3;1,98;0,39;7485;7,01;70,34;2618063,13
Buton Tengah;65,5;264699;13;64,37;15,32;1,91;0,38;7221;7,30;67,66;2428673,499
Buton Selatan;65,5;248184;13,23;64,93;14,11;1,82;0,42;7263;7,53;67,66;2874729,799
Kota Kendari;71,73;384379;16,62;83,53;4,34;0,67;0,16;14335;12,20;73,77;22045697,95
Kota Baubau;69,06;344598;15,16;75,9;7,15;1,05;0,2;10483;10,64;71,19;9075847,224
Boalemo;67,06;426961;12,44;65,91;18,57;2,79;0,67;8789;6,82;69,07;5491547,82
Gorontalo;65,45;368990;13,08;68,68;15,22;2,67;0,65;10020;7,82;68,07;13047126,64
Pohuwato;62,12;309174;12,37;65,37;17,62;2,64;0,54;10255;7,12;64,07;6736628,635
Bone Bolango;66,36;424275;13,57;69,98;15,81;2,99;0,77;10052;8,31;68,46;4649221,138
Gorontalo Utara;63,91;311200;12,45;64,86;16,88;2,09;0,44;8921;7,03;65,87;3429292,624
Kota Gorontalo;70,55;569538;14,34;77,13;5,59;0,61;0,1;12278;10,36;72,49;8536169,616
Majene;59,66;384344;13,61;66,91;13,73;2,21;0,53;10056;8,65;61,56;4986822,2
Polewali Mandar;60,45;401057;13,06;63,84;15,26;2,74;0,79;8580;7,41;62,38;13273724,99
Mamasa;68,85;273513;12,05;66,02;13,38;1,71;0,31;7747;7,65;70,87;2991974,411
Mamuju;65,49;277078;13,19;68,15;6,92;1,06;0,24;9500;7,95;67,52;11702466,89
Mamuju Utara;64,22;354115;11,93;67,79;4,48;0,36;0,04;11111;7,98;66,20;10287377,93
Mamuju Tengah;66,28;255440;12,23;65,71;6,79;0,88;0,18;8414;7,46;68,33;3214529,023
Maluku Tenggara Barat;61,48;479402;12,29;62,86;27,11;5,9;1,64;6297;9,68;63,42;2712525,215
Maluku Tenggara;63,11;517821;12,81;66,2;22,57;4,26;1,02;7545;9,73;65,07;3260396,32
Maluku Tengah;64,42;503800;14,16;71,25;19,83;4,05;1,28;10210;9,67;66,42;8719172,185
Buru;64,41;492055;13,03;68,95;16,64;2,91;0,89;10316;8,52;66,41;2424732,258
Kepulauan Aru;60,93;490565;12,3;63,71;26,26;4,47;1,14;7586;8,82;62,87;3503735,486
Seram Bagian Barat;59,78;419793;13,44;65,62;25,11;4,46;1,23;8690;8,87;61,69;3029729,511
Seram Bagian Timur;57,57;398430;12,76;64,12;23,04;4,44;1,22;9453;8,43;59,41;2914079,345
Maluku Barat Daya;60,47;521899;12,27;61,9;29,15;5,46;1,49;6890;8,35;62,38;1670538,754
Buru Selatan;64,28;628659;12,69;64,69;15,75;2,14;0,46;7566;7,94;66,27;1418560,52
Kota Ambon;68,51;596042;16,03;80,84;4,51;0,41;0,06;14116;11,92;70,52;14706629,91
Kota Tual;63,51;574105;13,97;67,96;22,51;3,67;0,83;7351;10,52;65,47;2491340,848
Halmahera Barat;64,28;339283;13,19;65,31;8,82;0,86;0,13;7352;8,35;66,25;2280408,909
Halmahera Tengah;61,99;466973;12,99;65,42;13,56;1,73;0,39;7841;9,00;63,91;3279887,345
Kepulauan Sula;61,37;372561;12,74;63,53;8,35;0,88;0,16;6950;8,95;63,30;2508024,609
Halmahera Selatan;63,9;324767;12,78;63,84;5,21;0,45;0,08;7068;7,93;65,86;8720481,005
Halmahera Utara;67,55;248544;13,6;67,5;4,45;0,38;0,09;7414;8,51;69,56;5705628,663
Halmahera Timur;66,89;569464;12,75;66,75;15,45;1,9;0,35;7876;8,26;68,88;3541486,337
Pulau Morotai;65,18;276746;12,77;62,5;6,46;1,05;0,37;6290;7,39;67,18;1579266,546
Pulau Taliabu;60,2;401710;12,59;60,48;7,3;0,89;0,16;6390;7,66;62,10;1485486,629
Kota Ternate;68,99;595553;15,74;79,82;3,46;0,38;0,1;13091;11,71;70,97;10535199,66
Kota Tidore Kepulauan;67,36;448352;14,31;70,53;6,52;0,6;0,11;8188;9,73;69,34;2940811,126
Fakfak;66,51;578510;14,37;68,36;22,27;5,87;1,95;7599;8,84;68,47;5200934,324
Kaimana;62,92;438991;12,13;65;15,5;2,36;0,59;8325;8,41;64,81;2699399,606
Teluk Wondama;58,31;588838;11,48;60,21;30,91;10,04;4,19;8219;6,98;60,10;1538381,187
Teluk Bintuni;59,03;683667;12,31;64,55;29,39;8,31;3,15;9974;8,08;60,83;31006052,11
Manokwari;66,73;651032;13,65;72,01;20,14;5,87;2,24;12207;8,25;68,68;9327745,728
Sorong Selatan;64,33;347898;13,16;62,42;18,28;3,12;0,82;6286;7,36;66,25;1859107,073
Sorong;64,19;379951;13,71;65,74;27,48;5,97;1,78;7495;8,17;66,10;10791867,4
Raja Ampat;62,85;374488;12,03;63,89;17,01;3,06;0,81;8014;7,91;64,74;2983263,571
Tambrauw;58,33;393268;11,91;53,45;32,8;8,99;3,23;4998;5,24;60,13;238735,8247
Maybrat;63,25;383715;13,21;59,52;30,78;8,01;2,64;5336;6,85;65,19;732067,731
Manokwari Selatan;65,62;678494;12,35;59,84;28,88;8,61;3,55;5505;6,63;67,58;832753,4741
Pegunungan Arfak;65,3;670687;11,72;56,33;33,81;5,53;1,25;5099;5,12;67,24;226967,7741
Kota Sorong;68,76;765183;14,38;78,45;14,99;2,81;0,84;13954;11,14;70,70;15639292,75
Merauke;65,3;366296;13,88;70,09;10,03;1,53;0,37;10097;8,72;67,00;16037189,56
Jayawijaya;57,84;461058;12,27;58,03;37,22;12,54;5,16;7441;5,51;59,64;8269882,356
Jayapura;64,93;601005;14,2;71,69;12,44;2,04;0,53;9898;10,04;67,05;16062753,72
Nabire;65,97;612872;11,92;68,83;24,15;9,26;4,73;8840;10,00;68,06;11194890,9
Kepulauan Yapen;67,04;653819;12,73;67,66;26,3;6,63;2,24;7484;9,46;69,12;4152741,464
Biak Numfor;66,17;574402;13,96;72,19;24,57;6,33;2,43;9705;10,33;68,25;5223669,503
Paniai;64,33;512058;10,49;56,31;36,71;6,23;1,45;6361;4,57;66,44;4283393,78
Puncak Jaya;63,25;639503;7,24;48,37;34,74;13,41;6,99;5282;3,62;65,15;1387234,123
Mimika;70,42;870355;12,4;74,19;14,26;3,59;1,16;11431;10,17;72,32;63393415,75
Boven Digoel;58,16;486179;11,07;61,53;19,41;3,54;0,91;7947;8,78;59,97;4821050,398
Mappi;63,21;351801;10,55;58,15;25,04;4,99;1,46;6353;6,31;65,11;2995009,661
Asmat;56,28;383790;9,02;50,55;25,49;3,54;0,75;5733;4,94;58,05;2569010,863
Yahukimo;63,99;428433;7,61;49,37;37,34;7,41;1,93;4875;4,26;65,93;2504255,582
Pegunungan Bintang;62,41;580393;6,25;45,44;30,15;4,91;1,1;5409;2,81;64,44;1968754,155
Tolikara;63,78;404812;8,6;49,5;32,04;6,7;1,8;4826;3,64;65,71;1672316,199
Sarmi;64,43;535586;12,05;63,63;13,87;1,56;0,29;6600;8,82;66,36;2938839,741
Keerom;64,6;677050;12,42;66,4;16,32;2,79;0,7;8910;8,01;66,69;2924343,706
Waropen;64,39;691544;12,79;64,94;29,54;9,9;4,12;6732;9,20;66,33;2044761,022
Supiori;64;471401;12,74;62,3;36,91;10,52;3,8;5677;8,81;65,94;1042046,533
Mamberamo Raya;56,03;727830;11,79;51,78;28,38;4,12;1,01;4581;5,66;57,77;1722532,991
Nduga;53,57;360779;3,61;31,55;36,72;7,57;2,25;3975;1,13;55,27;1269942,268
Lanny Jaya;64,02;490508;8,62;47,86;38,13;13,87;6,51;4350;3,20;66,06;1930042,153
Mamberamo Tengah;61,71;412574;8,93;47,57;36,41;9,11;2,84;4462;3,15;63,59;1213549,356
Yalimo;63,39;347171;9,11;48,34;32,82;11,47;4,86;4647;2,79;65,42;1283663,572
Puncak;64,2;664865;5,39;43,04;36,96;8,61;2,63;5378;2,15;65,74;1438051,199
Dogiyai;63,8;512654;10,58;54,84;28,62;5,55;1,86;5373;4,93;65,73;1355634,396
Intan Jaya;63,58;662465;7,65;47,79;40,71;8;2,17;5283;2,84;65,60;1273026,857
Deiyai;63,32;608868;9,81;49,46;41,76;11,44;3,9;4632;3,01;65,24;1435664,554
Kota Jayapura;68,42;1021759;15,01;79,94;11,16;1,98;0,55;14763;11,56;70,45;32032133,94
